count_id,branch_id,product_id,count_date,expected_qty,counted_qty,discrepancy,counted_by,notes
80,1,30,2026-04-12,73,73,0,2,OK
81,2,26,2026-04-12,91,91,0,5,OK
82,2,27,2026-04-12,61,61,0,5,OK
83,2,28,2026-04-12,112,112,0,5,OK
84,2,29,2026-04-12,91,91,0,5,OK
85,2,30,2026-04-12,115,115,0,5,OK
86,3,26,2026-04-12,113,111,-2,8,2 unit(s) missing
87,3,27,2026-04-12,87,87,0,8,OK
88,3,28,2026-04-12,31,31,0,8,OK
89,3,29,2026-04-12,43,43,0,8,OK
90,3,30,2026-04-12,49,49,0,8,OK
91,1,31,2026-04-13,38,38,0,2,OK
92,1,32,2026-04-13,98,98,0,2,OK
93,1,33,2026-04-13,28,28,0,2,OK
94,1,34,2026-04-13,57,57,0,2,OK
95,1,35,2026-04-13,43,43,0,2,OK
96,2,31,2026-04-13,36,36,0,5,OK
97,2,32,2026-04-13,109,109,0,5,OK
98,2,33,2026-04-13,87,87,0,5,OK
99,2,34,2026-04-13,43,42,-1,5,1 unit(s) missing
100,2,35,2026-04-13,19,19,0,5,OK
101,3,31,2026-04-13,39,39,0,8,OK
102,3,32,2026-04-13,88,88,0,8,OK
103,3,33,2026-04-13,50,50,0,8,OK
104,3,34,2026-04-13,120,120,0,8,OK
105,3,35,2026-04-13,118,118,0,8,OK
106,1,36,2026-04-14,90,90,0,2,OK
107,1,37,2026-04-14,52,52,0,2,OK
108,1,38,2026-04-14,49,49,0,2,OK
109,1,39,2026-04-14,96,96,0,2,OK
110,1,40,2026-04-14,68,68,0,2,OK
111,2,36,2026-04-14,19,20,1,5,1 unit(s) surplus
112,2,37,2026-04-14,34,34,0,5,OK
113,2,38,2026-04-14,76,77,1,5,1 unit(s) surplus
114,2,39,2026-04-14,94,95,1,5,1 unit(s) surplus
115,2,40,2026-04-14,70,70,0,5,OK
116,3,36,2026-04-14,106,106,0,8,OK
117,3,37,2026-04-14,110,110,0,8,OK
118,3,38,2026-04-14,111,111,0,8,OK
119,3,39,2026-04-14,81,82,1,8,1 unit(s) surplus
120,3,40,2026-04-14,84,84,0,8,OK
121,1,41,2026-04-15,44,42,-2,2,2 unit(s) missing
122,1,42,2026-04-15,90,91,1,2,1 unit(s) surplus
123,1,43,2026-04-15,30,28,-2,2,2 unit(s) missing
124,1,44,2026-04-15,20,20,0,2,OK
125,1,45,2026-04-15,117,117,0,2,OK
126,2,41,2026-04-15,40,38,-2,5,2 unit(s) missing
127,2,42,2026-04-15,70,70,0,5,OK
128,2,43,2026-04-15,16,16,0,5,OK
129,2,44,2026-04-15,30,30,0,5,OK
130,2,45,2026-04-15,53,53,0,5,OK
131,3,41,2026-04-15,17,17,0,8,OK
132,3,42,2026-04-15,67,67,0,8,OK
133,3,43,2026-04-15,93,93,0,8,OK
134,3,44,2026-04-15,31,31,0,8,OK
135,3,45,2026-04-15,84,84,0,8,OK
136,1,46,2026-04-16,115,115,0,2,OK
137,1,47,2026-04-16,43,43,0,2,OK
138,1,48,2026-04-16,83,81,-2,2,2 unit(s) missing
139,1,49,2026-04-16,30,30,0,2,OK
140,1,50,2026-04-16,116,116,0,2,OK
141,2,46,2026-04-16,118,118,0,5,OK
142,2,47,2026-04-16,15,15,0,5,OK
143,2,48,2026-04-16,88,86,-2,5,2 unit(s) missing
144,2,49,2026-04-16,21,20,-1,5,1 unit(s) missing
145,2,50,2026-04-16,46,46,0,5,OK
146,3,46,2026-04-16,82,82,0,8,OK
147,3,47,2026-04-16,21,21,0,8,OK
148,3,48,2026-04-16,114,112,-2,8,2 unit(s) missing
149,3,49,2026-04-16,22,21,-1,8,1 unit(s) missing
150,3,50,2026-04-16,20,20,0,8,OK
151,1,51,2026-04-17,23,23,0,2,OK
152,1,52,2026-04-17,19,17,-2,2,2 unit(s) missing
153,1,53,2026-04-17,26,26,0,2,OK
154,1,54,2026-04-17,77,77,0,2,OK
155,1,55,2026-04-17,55,55,0,2,OK
156,2,51,2026-04-17,64,64,0,5,OK
157,2,52,2026-04-17,90,90,0,5,OK
158,2,53,2026-04-17,48,48,0,5,OK
159,2,54,2026-04-17,57,57,0,5,OK
160,2,55,2026-04-17,31,31,0,5,OK
161,3,51,2026-04-17,106,105,-1,8,1 unit(s) missing
162,3,52,2026-04-17,116,116,0,8,OK
163,3,53,2026-04-17,37,37,0,8,OK
164,3,54,2026-04-17,73,73,0,8,OK
165,3,55,2026-04-17,115,115,0,8,OK
166,1,56,2026-04-18,96,94,-2,2,2 unit(s) missing
167,1,57,2026-04-18,94,92,-2,2,2 unit(s) missing
168,1,58,2026-04-18,21,21,0,2,OK
169,1,59,2026-04-18,78,77,-1,2,1 unit(s) missing
170,1,60,2026-04-18,55,55,0,2,OK
171,2,56,2026-04-18,103,103,0,5,OK
172,2,57,2026-04-18,17,17,0,5,OK
173,2,58,2026-04-18,83,83,0,5,OK
174,2,59,2026-04-18,90,90,0,5,OK
175,2,60,2026-04-18,69,69,0,5,OK
176,3,56,2026-04-18,31,29,-2,8,2 unit(s) missing
177,3,57,2026-04-18,56,56,0,8,OK
178,3,58,2026-04-18,86,85,-1,8,1 unit(s) missing
179,3,59,2026-04-18,48,48,0,8,OK
180,3,60,2026-04-18,103,103,0,8,OK
181,1,1,2026-04-19,119,118,-1,2,1 unit(s) missing
182,1,2,2026-04-19,82,81,-1,2,1 unit(s) missing
183,1,3,2026-04-19,100,100,0,2,OK
184,1,4,2026-04-19,55,55,0,2,OK
185,1,5,2026-04-19,28,26,-2,2,2 unit(s) missing
186,2,1,2026-04-19,106,106,0,5,OK
187,2,2,2026-04-19,33,33,0,5,OK
188,2,3,2026-04-19,64,64,0,5,OK
189,2,4,2026-04-19,26,26,0,5,OK
190,2,5,2026-04-19,99,97,-2,5,2 unit(s) missing
191,3,1,2026-04-19,37,35,-2,8,2 unit(s) missing
192,3,2,2026-04-19,58,56,-2,8,2 unit(s) missing
193,3,3,2026-04-19,30,30,0,8,OK
194,3,4,2026-04-19,29,29,0,8,OK
195,3,5,2026-04-19,104,105,1,8,1 unit(s) surplus
196,1,6,2026-04-20,89,89,0,2,OK
197,1,7,2026-04-20,26,26,0,2,OK
198,1,8,2026-04-20,113,113,0,2,OK
199,1,9,2026-04-20,82,81,-1,2,1 unit(s) missing
200,1,10,2026-04-20,28,28,0,2,OK
201,2,6,2026-04-20,27,28,1,5,1 unit(s) surplus
202,2,7,2026-04-20,22,22,0,5,OK
203,2,8,2026-04-20,87,87,0,5,OK
204,2,9,2026-04-20,24,24,0,5,OK
205,2,10,2026-04-20,38,38,0,5,OK
206,3,6,2026-04-20,73,73,0,8,OK
207,3,7,2026-04-20,111,112,1,8,1 unit(s) surplus
208,3,8,2026-04-20,47,47,0,8,OK
209,3,9,2026-04-20,65,66,1,8,1 unit(s) surplus
210,3,10,2026-04-20,86,86,0,8,OK
211,1,11,2026-04-21,25,25,0,2,OK
212,1,12,2026-04-21,45,46,1,2,1 unit(s) surplus
213,1,13,2026-04-21,67,65,-2,2,2 unit(s) missing
214,1,14,2026-04-21,35,35,0,2,OK
215,1,15,2026-04-21,87,86,-1,2,1 unit(s) missing
216,2,11,2026-04-21,101,102,1,5,1 unit(s) surplus
217,2,12,2026-04-21,102,102,0,5,OK
218,2,13,2026-04-21,97,97,0,5,OK
219,2,14,2026-04-21,34,34,0,5,OK
220,2,15,2026-04-21,78,77,-1,5,1 unit(s) missing
221,3,11,2026-04-21,104,104,0,8,OK
222,3,12,2026-04-21,71,71,0,8,OK
223,3,13,2026-04-21,38,38,0,8,OK
224,3,14,2026-04-21,111,111,0,8,OK
225,3,15,2026-04-21,89,89,0,8,OK
226,1,16,2026-04-22,44,42,-2,2,2 unit(s) missing
227,1,17,2026-04-22,83,84,1,2,1 unit(s) surplus
228,1,18,2026-04-22,52,52,0,2,OK
229,1,19,2026-04-22,67,67,0,2,OK
230,1,20,2026-04-22,89,89,0,2,OK
231,2,16,2026-04-22,49,47,-2,5,2 unit(s) missing
232,2,17,2026-04-22,54,54,0,5,OK
233,2,18,2026-04-22,76,74,-2,5,2 unit(s) missing
234,2,19,2026-04-22,40,40,0,5,OK
235,2,20,2026-04-22,61,61,0,5,OK
236,3,16,2026-04-22,76,75,-1,8,1 unit(s) missing
237,3,17,2026-04-22,33,33,0,8,OK
238,3,18,2026-04-22,104,104,0,8,OK
239,3,19,2026-04-22,91,91,0,8,OK
240,3,20,2026-04-22,89,87,-2,8,2 unit(s) missing
241,1,21,2026-04-23,120,120,0,2,OK
242,1,22,2026-04-23,18,18,0,2,OK
243,1,23,2026-04-23,107,107,0,2,OK
244,1,24,2026-04-23,66,65,-1,2,1 unit(s) missing
245,1,25,2026-04-23,20,20,0,2,OK
246,2,21,2026-04-23,44,42,-2,5,2 unit(s) missing
247,2,22,2026-04-23,97,96,-1,5,1 unit(s) missing
248,2,23,2026-04-23,101,101,0,5,OK
249,2,24,2026-04-23,42,40,-2,5,2 unit(s) missing
250,2,25,2026-04-23,45,43,-2,5,2 unit(s) missing
251,3,21,2026-04-23,114,114,0,8,OK
252,3,22,2026-04-23,38,38,0,8,OK
253,3,23,2026-04-23,101,99,-2,8,2 unit(s) missing
254,3,24,2026-04-23,47,47,0,8,OK
255,3,25,2026-04-23,20,20,0,8,OK
256,1,26,2026-04-24,69,69,0,2,OK
257,1,27,2026-04-24,117,117,0,2,OK
258,1,28,2026-04-24,26,26,0,2,OK
259,1,29,2026-04-24,52,52,0,2,OK
260,1,30,2026-04-24,72,72,0,2,OK
261,2,26,2026-04-24,101,101,0,5,OK
262,2,27,2026-04-24,18,18,0,5,OK
263,2,28,2026-04-24,70,70,0,5,OK
264,2,29,2026-04-24,24,24,0,5,OK
265,2,30,2026-04-24,89,88,-1,5,1 unit(s) missing
266,3,26,2026-04-24,77,77,0,8,OK
267,3,27,2026-04-24,84,84,0,8,OK
268,3,28,2026-04-24,50,50,0,8,OK
269,3,29,2026-04-24,70,70,0,8,OK
270,3,30,2026-04-24,82,83,1,8,1 unit(s) surplus
271,1,31,2026-04-25,27,27,0,2,OK
272,1,32,2026-04-25,104,104,0,2,OK
273,1,33,2026-04-25,113,113,0,2,OK
274,1,34,2026-04-25,72,72,0,2,OK
275,1,35,2026-04-25,101,101,0,2,OK
276,2,31,2026-04-25,118,116,-2,5,2 unit(s) missing
277,2,32,2026-04-25,28,27,-1,5,1 unit(s) missing
278,2,33,2026-04-25,58,58,0,5,OK
279,2,34,2026-04-25,83,83,0,5,OK
280,2,35,2026-04-25,100,100,0,5,OK
281,3,31,2026-04-25,60,60,0,8,OK
282,3,32,2026-04-25,52,52,0,8,OK
283,3,33,2026-04-25,87,86,-1,8,1 unit(s) missing
284,3,34,2026-04-25,97,97,0,8,OK
285,3,35,2026-04-25,95,95,0,8,OK
286,1,36,2026-04-26,62,60,-2,2,2 unit(s) missing
287,1,37,2026-04-26,98,98,0,2,OK
288,1,38,2026-04-26,28,29,1,2,1 unit(s) surplus
289,1,39,2026-04-26,33,34,1,2,1 unit(s) surplus
290,1,40,2026-04-26,97,96,-1,2,1 unit(s) missing
291,2,36,2026-04-26,91,91,0,5,OK
292,2,37,2026-04-26,53,53,0,5,OK
293,2,38,2026-04-26,73,73,0,5,OK
294,2,39,2026-04-26,115,115,0,5,OK
295,2,40,2026-04-26,23,23,0,5,OK
296,3,36,2026-04-26,38,37,-1,8,1 unit(s) missing
297,3,37,2026-04-26,84,84,0,8,OK
298,3,38,2026-04-26,65,65,0,8,OK
299,3,39,2026-04-26,49,49,0,8,OK
300,3,40,2026-04-26,21,19,-2,8,2 unit(s) missing
301,1,41,2026-04-27,20,20,0,2,OK
302,1,42,2026-04-27,49,49,0,2,OK
303,1,43,2026-04-27,113,113,0,2,OK
304,1,44,2026-04-27,57,58,1,2,1 unit(s) surplus
305,1,45,2026-04-27,72,72,0,2,OK
306,2,41,2026-04-27,113,113,0,5,OK
307,2,42,2026-04-27,78,76,-2,5,2 unit(s) missing
308,2,43,2026-04-27,29,29,0,5,OK
309,2,44,2026-04-27,90,90,0,5,OK
310,2,45,2026-04-27,29,29,0,5,OK
311,3,41,2026-04-27,108,108,0,8,OK
312,3,42,2026-04-27,104,104,0,8,OK
313,3,43,2026-04-27,68,68,0,8,OK
314,3,44,2026-04-27,65,63,-2,8,2 unit(s) missing
315,3,45,2026-04-27,110,110,0,8,OK
316,1,46,2026-04-28,92,92,0,2,OK
317,1,47,2026-04-28,65,64,-1,2,1 unit(s) missing
318,1,48,2026-04-28,84,84,0,2,OK
319,1,49,2026-04-28,87,87,0,2,OK
320,1,50,2026-04-28,47,47,0,2,OK
321,2,46,2026-04-28,52,52,0,5,OK
322,2,47,2026-04-28,117,117,0,5,OK
323,2,48,2026-04-28,67,68,1,5,1 unit(s) surplus
324,2,49,2026-04-28,64,64,0,5,OK
325,2,50,2026-04-28,89,89,0,5,OK
326,3,46,2026-04-28,78,79,1,8,1 unit(s) surplus
327,3,47,2026-04-28,102,101,-1,8,1 unit(s) missing
328,3,48,2026-04-28,100,100,0,8,OK
329,3,49,2026-04-28,91,91,0,8,OK
330,3,50,2026-04-28,96,96,0,8,OK
331,1,51,2026-04-29,113,112,-1,2,1 unit(s) missing
332,1,52,2026-04-29,44,44,0,2,OK
333,1,53,2026-04-29,82,82,0,2,OK
334,1,54,2026-04-29,40,40,0,2,OK
335,1,55,2026-04-29,82,82,0,2,OK
336,2,51,2026-04-29,119,119,0,5,OK
337,2,52,2026-04-29,97,98,1,5,1 unit(s) surplus
338,2,53,2026-04-29,29,29,0,5,OK
339,2,54,2026-04-29,99,97,-2,5,2 unit(s) missing
340,2,55,2026-04-29,32,32,0,5,OK
341,3,51,2026-04-29,26,26,0,8,OK
342,3,52,2026-04-29,21,21,0,8,OK
343,3,53,2026-04-29,94,94,0,8,OK
344,3,54,2026-04-29,24,24,0,8,OK
345,3,55,2026-04-29,17,18,1,8,1 unit(s) surplus
346,1,56,2026-04-30,56,56,0,2,OK
347,1,57,2026-04-30,59,59,0,2,OK
348,1,58,2026-04-30,32,32,0,2,OK
349,1,59,2026-04-30,91,90,-1,2,1 unit(s) missing
350,1,60,2026-04-30,19,18,-1,2,1 unit(s) missing
351,2,56,2026-04-30,109,110,1,5,1 unit(s) surplus
352,2,57,2026-04-30,118,118,0,5,OK
353,2,58,2026-04-30,23,21,-2,5,2 unit(s) missing
354,2,59,2026-04-30,70,70,0,5,OK
355,2,60,2026-04-30,43,43,0,5,OK
356,3,56,2026-04-30,28,27,-1,8,1 unit(s) missing
357,3,57,2026-04-30,67,67,0,8,OK
358,3,58,2026-04-30,40,39,-1,8,1 unit(s) missing
359,3,59,2026-04-30,65,65,0,8,OK
360,3,60,2026-04-30,104,104,0,8,OK
361,1,1,2026-05-01,69,69,0,2,OK
362,1,2,2026-05-01,77,77,0,2,OK
363,1,3,2026-05-01,74,74,0,2,OK
364,1,4,2026-05-01,103,103,0,2,OK
365,1,5,2026-05-01,38,38,0,2,OK
366,2,1,2026-05-01,19,18,-1,5,1 unit(s) missing
367,2,2,2026-05-01,61,59,-2,5,2 unit(s) missing
368,2,3,2026-05-01,72,72,0,5,OK
369,2,4,2026-05-01,91,91,0,5,OK
370,2,5,2026-05-01,15,13,-2,5,2 unit(s) missing
371,3,1,2026-05-01,48,47,-1,8,1 unit(s) missing
372,3,2,2026-05-01,33,31,-2,8,2 unit(s) missing
373,3,3,2026-05-01,83,83,0,8,OK
374,3,4,2026-05-01,41,41,0,8,OK
375,3,5,2026-05-01,89,89,0,8,OK
376,1,6,2026-05-02,36,36,0,2,OK
377,1,7,2026-05-02,32,32,0,2,OK
378,1,8,2026-05-02,36,36,0,2,OK
379,1,9,2026-05-02,38,38,0,2,OK
380,1,10,2026-05-02,17,17,0,2,OK
381,2,6,2026-05-02,55,55,0,5,OK
382,2,7,2026-05-02,105,104,-1,5,1 unit(s) missing
383,2,8,2026-05-02,45,45,0,5,OK
384,2,9,2026-05-02,65,65,0,5,OK
385,2,10,2026-05-02,43,43,0,5,OK
386,3,6,2026-05-02,64,64,0,8,OK
387,3,7,2026-05-02,36,36,0,8,OK
388,3,8,2026-05-02,29,29,0,8,OK
389,3,9,2026-05-02,30,30,0,8,OK
390,3,10,2026-05-02,118,117,-1,8,1 unit(s) missing
391,1,11,2026-05-03,50,51,1,2,1 unit(s) surplus
392,1,12,2026-05-03,74,73,-1,2,1 unit(s) missing
393,1,13,2026-05-03,53,53,0,2,OK
394,1,14,2026-05-03,86,86,0,2,OK
395,1,15,2026-05-03,119,119,0,2,OK
396,2,11,2026-05-03,59,59,0,5,OK
397,2,12,2026-05-03,22,22,0,5,OK
398,2,13,2026-05-03,26,26,0,5,OK
399,2,14,2026-05-03,15,15,0,5,OK
400,2,15,2026-05-03,102,102,0,5,OK
401,3,11,2026-05-03,36,36,0,8,OK
402,3,12,2026-05-03,76,76,0,8,OK
403,3,13,2026-05-03,98,98,0,8,OK
404,3,14,2026-05-03,57,57,0,8,OK
405,3,15,2026-05-03,111,111,0,8,OK
406,1,16,2026-05-04,117,117,0,2,OK
407,1,17,2026-05-04,59,60,1,2,1 unit(s) surplus
408,1,18,2026-05-04,19,19,0,2,OK
409,1,19,2026-05-04,111,111,0,2,OK
410,1,20,2026-05-04,65,65,0,2,OK
411,2,16,2026-05-04,52,52,0,5,OK
412,2,17,2026-05-04,67,67,0,5,OK
413,2,18,2026-05-04,64,64,0,5,OK
414,2,19,2026-05-04,83,83,0,5,OK
415,2,20,2026-05-04,66,66,0,5,OK
416,3,16,2026-05-04,109,107,-2,8,2 unit(s) missing
417,3,17,2026-05-04,64,62,-2,8,2 unit(s) missing
418,3,18,2026-05-04,85,85,0,8,OK
419,3,19,2026-05-04,38,38,0,8,OK
420,3,20,2026-05-04,68,68,0,8,OK
421,1,21,2026-05-05,71,70,-1,2,1 unit(s) missing
422,1,22,2026-05-05,76,76,0,2,OK
423,1,23,2026-05-05,120,120,0,2,OK
424,1,24,2026-05-05,107,106,-1,2,1 unit(s) missing
425,1,25,2026-05-05,105,105,0,2,OK
426,2,21,2026-05-05,77,77,0,5,OK
427,2,22,2026-05-05,36,35,-1,5,1 unit(s) missing
428,2,23,2026-05-05,17,15,-2,5,2 unit(s) missing
429,2,24,2026-05-05,26,25,-1,5,1 unit(s) missing
430,2,25,2026-05-05,101,101,0,5,OK
431,3,21,2026-05-05,55,55,0,8,OK
432,3,22,2026-05-05,117,117,0,8,OK
433,3,23,2026-05-05,93,91,-2,8,2 unit(s) missing
434,3,24,2026-05-05,72,72,0,8,OK
435,3,25,2026-05-05,108,108,0,8,OK
436,1,26,2026-05-06,62,62,0,2,OK
437,1,27,2026-05-06,39,39,0,2,OK
438,1,28,2026-05-06,28,28,0,2,OK
439,1,29,2026-05-06,54,54,0,2,OK
440,1,30,2026-05-06,25,23,-2,2,2 unit(s) missing
441,2,26,2026-05-06,41,41,0,5,OK
442,2,27,2026-05-06,21,22,1,5,1 unit(s) surplus
443,2,28,2026-05-06,97,97,0,5,OK
444,2,29,2026-05-06,16,16,0,5,OK
445,2,30,2026-05-06,51,52,1,5,1 unit(s) surplus
446,3,26,2026-05-06,43,41,-2,8,2 unit(s) missing
447,3,27,2026-05-06,80,80,0,8,OK
448,3,28,2026-05-06,114,115,1,8,1 unit(s) surplus
449,3,29,2026-05-06,55,54,-1,8,1 unit(s) missing
450,3,30,2026-05-06,83,82,-1,8,1 unit(s) missing
