summary_id,branch_id,summary_date,total_revenue,total_cost,total_profit,transaction_count
107,5,2026-02-23,8677.42,4512.26,4165.16,23
108,6,2026-02-23,5442.81,2830.26,2612.55,23
109,1,2026-02-24,6673.39,3470.16,3203.23,25
110,2,2026-02-24,12282.79,6387.05,5895.74,42
111,3,2026-02-24,12308.65,6400.5,5908.15,35
112,4,2026-02-24,12003.97,6242.06,5761.91,37
113,5,2026-02-24,6004.04,3122.1,2881.94,17
114,6,2026-02-24,9834.85,5114.12,4720.73,29
115,1,2026-02-25,8169.54,4248.16,3921.38,34
116,2,2026-02-25,8037.76,4179.64,3858.12,28
117,3,2026-02-25,5948.89,3093.42,2855.47,19
118,4,2026-02-25,5537.98,2879.75,2658.23,18
119,5,2026-02-25,7990.73,4155.18,3835.55,24
120,6,2026-02-25,10368.77,5391.76,4977.01,34
121,1,2026-02-26,6816.4,3544.53,3271.87,21
122,2,2026-02-26,13289.2,6910.38,6378.82,39
123,3,2026-02-26,9628.41,5006.77,4621.64,37
124,4,2026-02-26,12780.88,6646.06,6134.82,41
125,5,2026-02-26,10696.65,5562.26,5134.39,32
126,6,2026-02-26,7633.76,3969.56,3664.2,25
127,1,2026-02-27,12275.2,6383.1,5892.1,41
128,2,2026-02-27,5527.3,2874.2,2653.1,15
129,3,2026-02-27,9610.76,4997.6,4613.16,30
130,4,2026-02-27,8448.92,4393.44,4055.48,22
131,5,2026-02-27,5976.72,3107.89,2868.83,21
132,6,2026-02-27,10679.32,5553.25,5126.07,34
133,1,2026-02-28,12357.25,6425.77,5931.48,40
134,2,2026-02-28,4678.7,2432.92,2245.78,17
135,3,2026-02-28,11936.96,6207.22,5729.74,36
136,4,2026-02-28,12579.78,6541.49,6038.29,37
137,5,2026-02-28,5220.87,2714.85,2506.02,17
138,6,2026-02-28,11884.46,6179.92,5704.54,34
139,1,2026-03-01,11901.13,6188.59,5712.54,40
140,2,2026-03-01,10026.62,5213.84,4812.78,35
141,3,2026-03-01,8286.21,4308.83,3977.38,30
142,4,2026-03-01,6595.72,3429.77,3165.95,21
143,5,2026-03-01,4595.8,2389.82,2205.98,16
144,6,2026-03-01,6669.69,3468.24,3201.45,25
145,1,2026-03-02,9737.1,5063.29,4673.81,29
146,2,2026-03-02,6322.68,3287.79,3034.89,24
147,3,2026-03-02,9218.82,4793.79,4425.03,30
148,4,2026-03-02,5536.87,2879.17,2657.7,16
149,5,2026-03-02,14837.63,7715.57,7122.06,38
150,6,2026-03-02,4798.55,2495.25,2303.3,18
151,1,2026-03-03,6855.73,3564.98,3290.75,22
152,2,2026-03-03,6910.49,3593.45,3317.04,24
153,3,2026-03-03,9700.26,5044.14,4656.12,33
154,4,2026-03-03,11717.83,6093.27,5624.56,36
155,5,2026-03-03,5669.17,2947.97,2721.2,22
156,6,2026-03-03,11886.19,6180.82,5705.37,36
157,1,2026-03-04,6971.6,3625.23,3346.37,29
158,2,2026-03-04,8316.9,4324.79,3992.11,32
159,3,2026-03-04,5418.79,2817.77,2601.02,19
160,4,2026-03-04,7756.64,4033.45,3723.19,23
161,5,2026-03-04,5706.0,2967.12,2738.88,19
162,6,2026-03-04,7264.52,3777.55,3486.97,24
163,1,2026-03-05,7348.87,3821.41,3527.46,21
164,2,2026-03-05,5602.84,2913.48,2689.36,27
165,3,2026-03-05,11281.82,5866.55,5415.27,36
166,4,2026-03-05,8822.49,4587.69,4234.8,34
167,5,2026-03-05,9661.0,5023.72,4637.28,35
168,6,2026-03-05,5545.67,2883.75,2661.92,18
169,1,2026-03-06,4302.67,2237.39,2065.28,15
170,2,2026-03-06,6832.11,3552.7,3279.41,25
171,3,2026-03-06,10895.24,5665.52,5229.72,33
172,4,2026-03-06,10918.39,5677.56,5240.83,35
173,5,2026-03-06,3384.31,1759.84,1624.47,15
174,6,2026-03-06,3831.99,1992.63,1839.36,13
175,1,2026-03-07,5552.37,2887.23,2665.14,21
176,2,2026-03-07,7313.48,3803.01,3510.47,22
177,3,2026-03-07,11243.36,5846.55,5396.81,38
178,4,2026-03-07,10528.12,5474.62,5053.5,29
179,5,2026-03-07,13033.59,6777.47,6256.12,41
180,6,2026-03-07,7432.87,3865.09,3567.78,21
181,1,2026-03-08,6776.39,3523.72,3252.67,25
182,2,2026-03-08,9392.57,4884.14,4508.43,38
183,3,2026-03-08,10480.06,5449.63,5030.43,32
184,4,2026-03-08,10774.7,5602.84,5171.86,37
185,5,2026-03-08,10994.97,5717.38,5277.59,42
186,6,2026-03-08,10631.26,5528.26,5103.0,35
187,1,2026-03-09,8652.17,4499.13,4153.04,26
188,2,2026-03-09,5009.88,2605.14,2404.74,18
189,3,2026-03-09,9671.82,5029.35,4642.47,29
190,4,2026-03-09,8602.42,4473.26,4129.16,30
191,5,2026-03-09,8824.64,4588.81,4235.83,22
192,6,2026-03-09,8984.46,4671.92,4312.54,26
193,1,2026-03-10,12259.08,6374.72,5884.36,39
194,2,2026-03-10,6238.17,3243.85,2994.32,21
195,3,2026-03-10,9555.29,4968.75,4586.54,37
196,4,2026-03-10,5712.73,2970.62,2742.11,19
197,5,2026-03-10,7288.19,3789.86,3498.33,27
198,6,2026-03-10,10761.68,5596.07,5165.61,34
199,1,2026-03-11,8539.6,4440.59,4099.01,26
200,2,2026-03-11,7122.52,3703.71,3418.81,21
201,3,2026-03-11,3829.44,1991.31,1838.13,13
202,4,2026-03-11,11104.72,5774.45,5330.27,40
203,5,2026-03-11,10392.7,5404.2,4988.5,31
204,6,2026-03-11,8409.58,4372.98,4036.6,27
205,1,2026-03-12,12672.49,6589.69,6082.8,41
206,2,2026-03-12,5938.95,3088.25,2850.7,19
207,3,2026-03-12,8415.84,4376.24,4039.6,36
208,4,2026-03-12,8222.5,4275.7,3946.8,23
209,5,2026-03-12,12681.98,6594.63,6087.35,42
210,6,2026-03-12,9268.44,4819.59,4448.85,28
211,1,2026-03-13,7101.98,3693.03,3408.95,21
212,2,2026-03-13,6093.2,3168.46,2924.74,20
213,3,2026-03-13,4107.69,2136.0,1971.69,17
214,4,2026-03-13,4842.81,2518.26,2324.55,19
215,5,2026-03-13,8126.18,4225.61,3900.57,24
216,6,2026-03-13,7238.27,3763.9,3474.37,25
217,1,2026-03-14,12843.5,6678.62,6164.88,41
218,2,2026-03-14,11693.45,6080.59,5612.86,38
219,3,2026-03-14,8621.62,4483.24,4138.38,29
220,4,2026-03-14,6249.15,3249.56,2999.59,22
221,5,2026-03-14,14194.59,7381.19,6813.4,42
222,6,2026-03-14,4388.11,2281.82,2106.29,15
223,1,2026-03-15,11901.59,6188.83,5712.76,36
224,2,2026-03-15,8345.89,4339.86,4006.03,27
225,3,2026-03-15,10793.96,5612.86,5181.1,38
226,4,2026-03-15,6261.4,3255.93,3005.47,19
227,5,2026-03-15,10501.49,5460.77,5040.72,32
228,6,2026-03-15,10456.96,5437.62,5019.34,33
229,1,2026-03-16,5487.86,2853.69,2634.17,17
230,2,2026-03-16,4647.23,2416.56,2230.67,17
231,3,2026-03-16,7372.66,3833.78,3538.88,24
232,4,2026-03-16,8582.38,4462.84,4119.54,32
233,5,2026-03-16,12566.25,6534.45,6031.8,37
234,6,2026-03-16,9686.43,5036.94,4649.49,31
235,1,2026-03-17,9285.82,4828.63,4457.19,28
236,2,2026-03-17,3403.26,1769.7,1633.56,13
237,3,2026-03-17,7271.49,3781.17,3490.32,26
238,4,2026-03-17,12632.81,6569.06,6063.75,41
239,5,2026-03-17,5752.19,2991.14,2761.05,22
240,6,2026-03-17,9291.01,4831.33,4459.68,28
241,1,2026-03-18,5704.82,2966.51,2738.31,20
242,2,2026-03-18,11701.99,6085.03,5616.96,38
243,3,2026-03-18,6260.53,3255.48,3005.05,23
244,4,2026-03-18,11445.07,5951.44,5493.63,40
245,5,2026-03-18,3774.95,1962.97,1811.98,13
246,6,2026-03-18,4809.08,2500.72,2308.36,21
247,1,2026-03-19,3699.28,1923.63,1775.65,14
248,2,2026-03-19,6571.91,3417.39,3154.52,22
249,3,2026-03-19,11023.24,5732.08,5291.16,33
250,4,2026-03-19,5539.98,2880.79,2659.19,18
251,5,2026-03-19,5996.92,3118.4,2878.52,17
252,6,2026-03-19,9547.9,4964.91,4582.99,32
253,1,2026-03-20,8042.93,4182.32,3860.61,27
254,2,2026-03-20,8665.7,4506.16,4159.54,28
255,3,2026-03-20,11481.57,5970.42,5511.15,37
256,4,2026-03-20,7151.22,3718.63,3432.59,28
257,5,2026-03-20,5344.57,2779.18,2565.39,14
258,6,2026-03-20,9474.59,4926.79,4547.8,33
259,1,2026-03-21,6340.79,3297.21,3043.58,19
260,2,2026-03-21,4266.56,2218.61,2047.95,13
261,3,2026-03-21,8487.42,4413.46,4073.96,31
262,4,2026-03-21,5583.44,2903.39,2680.05,19
263,5,2026-03-21,11719.62,6094.2,5625.42,40
264,6,2026-03-21,9083.58,4723.46,4360.12,26
265,1,2026-03-22,7740.23,4024.92,3715.31,23
266,2,2026-03-22,12166.74,6326.7,5840.04,35
267,3,2026-03-22,7060.43,3671.42,3389.01,20
268,4,2026-03-22,10127.11,5266.1,4861.01,39
269,5,2026-03-22,7693.56,4000.65,3692.91,25
270,6,2026-03-22,7511.34,3905.9,3605.44,22
271,1,2026-03-23,7454.14,3876.15,3577.99,24
272,2,2026-03-23,9830.47,5111.84,4718.63,32
273,3,2026-03-23,8619.37,4482.07,4137.3,30
274,4,2026-03-23,8522.64,4431.77,4090.87,29
275,5,2026-03-23,9206.38,4787.32,4419.06,31
276,6,2026-03-23,8251.39,4290.72,3960.67,30
277,1,2026-03-24,7433.5,3865.42,3568.08,30
278,2,2026-03-24,4814.47,2503.52,2310.95,15
279,3,2026-03-24,12205.69,6346.96,5858.73,40
280,4,2026-03-24,6047.7,3144.8,2902.9,19
281,5,2026-03-24,4918.73,2557.74,2360.99,15
282,6,2026-03-24,6778.49,3524.81,3253.68,23
283,1,2026-03-25,6443.14,3350.43,3092.71,23
284,2,2026-03-25,3416.19,1776.42,1639.77,14
285,3,2026-03-25,8451.32,4394.69,4056.63,27
286,4,2026-03-25,8596.6,4470.23,4126.37,28
287,5,2026-03-25,1779.29,925.23,854.06,11
288,6,2026-03-25,8075.97,4199.5,3876.47,26
289,1,2026-03-26,5476.54,2847.8,2628.74,17
290,2,2026-03-26,8111.38,4217.92,3893.46,26
291,3,2026-03-26,6200.81,3224.42,2976.39,20
292,4,2026-03-26,6063.52,3153.03,2910.49,22
293,5,2026-03-26,10475.79,5447.41,5028.38,31
294,6,2026-03-26,6943.49,3610.61,3332.88,26
295,1,2026-03-27,6334.16,3293.76,3040.4,24
296,2,2026-03-27,11659.88,6063.14,5596.74,37
297,3,2026-03-27,6064.31,3153.44,2910.87,20
298,4,2026-03-27,5163.17,2684.85,2478.32,15
299,5,2026-03-27,12688.31,6597.92,6090.39,39
300,6,2026-03-27,7015.22,3647.91,3367.31,26
301,1,2026-03-28,6341.97,3297.82,3044.15,24
302,2,2026-03-28,5804.46,3018.32,2786.14,17
303,3,2026-03-28,8201.03,4264.54,3936.49,22
304,4,2026-03-28,7556.58,3929.42,3627.16,22
305,5,2026-03-28,11537.79,5999.65,5538.14,35
306,6,2026-03-28,13769.6,7160.19,6609.41,41
307,1,2026-03-29,8780.15,4565.68,4214.47,31
308,2,2026-03-29,10828.34,5630.74,5197.6,31
309,3,2026-03-29,4539.7,2360.64,2179.06,15
310,4,2026-03-29,4772.9,2481.91,2290.99,18
311,5,2026-03-29,10327.42,5370.26,4957.16,35
312,6,2026-03-29,6640.27,3452.94,3187.33,24
313,1,2026-03-30,4057.38,2109.84,1947.54,15
314,2,2026-03-30,10603.33,5513.73,5089.6,30
315,3,2026-03-30,9827.03,5110.06,4716.97,34
316,4,2026-03-30,11039.48,5740.53,5298.95,35
317,5,2026-03-30,4955.79,2577.01,2378.78,17
318,6,2026-03-30,7433.04,3865.18,3567.86,22
319,1,2026-03-31,5667.73,2947.22,2720.51,22
320,2,2026-03-31,7024.52,3652.75,3371.77,30
321,3,2026-03-31,5675.5,2951.26,2724.24,18
322,4,2026-03-31,10342.84,5378.28,4964.56,32
323,5,2026-03-31,4932.32,2564.81,2367.51,19
324,6,2026-03-31,7222.83,3755.87,3466.96,24
325,1,2026-04-01,4228.62,2198.88,2029.74,15
326,2,2026-04-01,6768.42,3519.58,3248.84,21
327,3,2026-04-01,7409.64,3853.01,3556.63,25
328,4,2026-04-01,11666.29,6066.47,5599.82,36
329,5,2026-04-01,8618.91,4481.83,4137.08,26
330,6,2026-04-01,9873.36,5134.15,4739.21,28
331,1,2026-04-02,5261.35,2735.9,2525.45,17
332,2,2026-04-02,5509.76,2865.08,2644.68,17
333,3,2026-04-02,9210.23,4789.32,4420.91,27
334,4,2026-04-02,6452.13,3355.11,3097.02,17
335,5,2026-04-02,4332.03,2252.66,2079.37,14
336,6,2026-04-02,4503.29,2341.71,2161.58,18
337,1,2026-04-03,3430.62,1783.92,1646.7,15
338,2,2026-04-03,5116.51,2660.59,2455.92,16
339,3,2026-04-03,6262.16,3256.32,3005.84,22
340,4,2026-04-03,3470.06,1804.43,1665.63,14
341,5,2026-04-03,7067.88,3675.3,3392.58,28
342,6,2026-04-03,12618.21,6561.47,6056.74,36
343,1,2026-04-04,7501.5,3900.78,3600.72,25
344,2,2026-04-04,5862.93,3048.72,2814.21,17
345,3,2026-04-04,11040.81,5741.22,5299.59,36
346,4,2026-04-04,5416.61,2816.64,2599.97,18
347,5,2026-04-04,5760.97,2995.7,2765.27,20
348,6,2026-04-04,6250.51,3250.27,3000.24,21
349,1,2026-04-05,7574.03,3938.5,3635.53,23
350,2,2026-04-05,7785.88,4048.66,3737.22,28
351,3,2026-04-05,6429.18,3343.17,3086.01,21
352,4,2026-04-05,8466.99,4402.83,4064.16,25
353,5,2026-04-05,11887.44,6181.47,5705.97,39
354,6,2026-04-05,10653.37,5539.75,5113.62,38
355,1,2026-04-06,10490.29,5454.95,5035.34,35
356,2,2026-04-06,6020.67,3130.75,2889.92,21
357,3,2026-04-06,6824.11,3548.54,3275.57,22
358,4,2026-04-06,10814.4,5623.49,5190.91,35
359,5,2026-04-06,8860.9,4607.67,4253.23,25
360,6,2026-04-06,10861.53,5648.0,5213.53,39
361,1,2026-04-07,5703.94,2966.05,2737.89,14
362,2,2026-04-07,5763.5,2997.02,2766.48,17
363,3,2026-04-07,12068.83,6275.79,5793.04,40
364,4,2026-04-07,8992.48,4676.09,4316.39,27
365,5,2026-04-07,10296.43,5354.14,4942.29,29
366,6,2026-04-07,13254.01,6892.09,6361.92,40
367,1,2026-04-08,8074.3,4198.64,3875.66,24
368,2,2026-04-08,11209.98,5829.19,5380.79,39
369,3,2026-04-08,9678.28,5032.71,4645.57,39
370,4,2026-04-08,9157.99,4762.15,4395.84,33
371,5,2026-04-08,9063.21,4712.87,4350.34,31
372,6,2026-04-08,9936.55,5167.01,4769.54,38
373,1,2026-04-09,11838.57,6156.06,5682.51,37
374,2,2026-04-09,5312.35,2762.42,2549.93,16
375,3,2026-04-09,6965.29,3621.95,3343.34,25
376,4,2026-04-09,10550.86,5486.45,5064.41,37
377,5,2026-04-09,12165.44,6326.03,5839.41,38
378,6,2026-04-09,8631.01,4488.13,4142.88,22
379,1,2026-04-10,10055.83,5229.03,4826.8,32
380,2,2026-04-10,10059.74,5231.06,4828.68,36
381,3,2026-04-10,8634.79,4490.09,4144.7,27
382,4,2026-04-10,9944.92,5171.36,4773.56,30
383,5,2026-04-10,7884.98,4100.19,3784.79,24
384,6,2026-04-10,9902.77,5149.44,4753.33,27
385,1,2026-04-11,4051.43,2106.74,1944.69,13
386,2,2026-04-11,9773.43,5082.18,4691.25,27
387,3,2026-04-11,12925.13,6721.07,6204.06,41
388,4,2026-04-11,5573.36,2898.15,2675.21,17
389,5,2026-04-11,8128.93,4227.04,3901.89,28
390,6,2026-04-11,8682.31,4514.8,4167.51,31
391,1,2026-04-12,8306.86,4319.57,3987.29,24
392,2,2026-04-12,10113.7,5259.12,4854.58,38
393,3,2026-04-12,9008.87,4684.61,4324.26,26
394,4,2026-04-12,11011.21,5725.83,5285.38,42
395,5,2026-04-12,9268.19,4819.46,4448.73,28
396,6,2026-04-12,4114.93,2139.76,1975.17,15
397,1,2026-04-13,11589.93,6026.76,5563.17,37
398,2,2026-04-13,7611.67,3958.07,3653.6,22
399,3,2026-04-13,7635.48,3970.45,3665.03,23
400,4,2026-04-13,8961.41,4659.93,4301.48,32
401,5,2026-04-13,11673.97,6070.46,5603.51,35
402,6,2026-04-13,11977.45,6228.27,5749.18,38
403,1,2026-04-14,6047.87,3144.89,2902.98,23
404,2,2026-04-14,3509.05,1824.71,1684.34,14
405,3,2026-04-14,5197.29,2702.59,2494.7,18
406,4,2026-04-14,7950.42,4134.22,3816.2,28
407,5,2026-04-14,8138.34,4231.94,3906.4,28
408,6,2026-04-14,6880.97,3578.1,3302.87,21
409,1,2026-04-15,6731.16,3500.2,3230.96,21
410,2,2026-04-15,10439.44,5428.51,5010.93,35
411,3,2026-04-15,4989.58,2594.58,2395.0,15
412,4,2026-04-15,8148.23,4237.08,3911.15,30
413,5,2026-04-15,7275.67,3783.35,3492.32,25
414,6,2026-04-15,6882.49,3578.89,3303.6,20
415,1,2026-04-16,10970.5,5704.66,5265.84,38
416,2,2026-04-16,10830.32,5631.77,5198.55,33
417,3,2026-04-16,4226.49,2197.77,2028.72,17
418,4,2026-04-16,12545.62,6523.72,6021.9,39
419,5,2026-04-16,12707.67,6607.99,6099.68,39
420,6,2026-04-16,13628.47,7086.8,6541.67,41
421,1,2026-04-17,12782.15,6646.72,6135.43,39
422,2,2026-04-17,4520.68,2350.75,2169.93,15
423,3,2026-04-17,11073.49,5758.21,5315.28,32
424,4,2026-04-17,8136.96,4231.22,3905.74,26
425,5,2026-04-17,7978.69,4148.92,3829.77,28
426,6,2026-04-17,5271.94,2741.41,2530.53,17
427,1,2026-04-18,8606.87,4475.57,4131.3,28
428,2,2026-04-18,11348.2,5901.06,5447.14,35
429,3,2026-04-18,5081.54,2642.4,2439.14,16
430,4,2026-04-18,13597.39,7070.64,6526.75,41
431,5,2026-04-18,11023.46,5732.2,5291.26,40
432,6,2026-04-18,7981.3,4150.28,3831.02,22
433,1,2026-04-19,8572.3,4457.6,4114.7,28
434,2,2026-04-19,6521.67,3391.27,3130.4,20
435,3,2026-04-19,10876.42,5655.74,5220.68,36
436,4,2026-04-19,8869.25,4612.01,4257.24,26
437,5,2026-04-19,6008.97,3124.66,2884.31,16
438,6,2026-04-19,12556.46,6529.36,6027.1,40
439,1,2026-04-20,12952.7,6735.4,6217.3,43
440,2,2026-04-20,10581.25,5502.25,5079.0,36
441,3,2026-04-20,9011.9,4686.19,4325.71,32
442,4,2026-04-20,5906.89,3071.58,2835.31,19
443,5,2026-04-20,10295.53,5353.68,4941.85,30
444,6,2026-04-20,7627.64,3966.37,3661.27,24
445,1,2026-04-21,5316.28,2764.47,2551.81,18
446,2,2026-04-21,3632.93,1889.12,1743.81,14
447,3,2026-04-21,6297.17,3274.53,3022.64,22
448,4,2026-04-21,10863.5,5649.02,5214.48,39
449,5,2026-04-21,5332.52,2772.91,2559.61,16
450,6,2026-04-21,11244.38,5847.08,5397.3,39
451,1,2026-04-22,12479.7,6489.44,5990.26,39
452,2,2026-04-22,6838.28,3555.91,3282.37,20
453,3,2026-04-22,5397.2,2806.54,2590.66,17
454,4,2026-04-22,5376.72,2795.89,2580.83,18
455,5,2026-04-22,5565.43,2894.02,2671.41,14
456,6,2026-04-22,9113.18,4738.85,4374.33,29
457,1,2026-04-23,6721.3,3495.08,3226.22,23
458,2,2026-04-23,13344.25,6939.01,6405.24,45
459,3,2026-04-23,10345.88,5379.86,4966.02,27
460,4,2026-04-23,8584.01,4463.69,4120.32,27
461,5,2026-04-23,7871.77,4093.32,3778.45,20
462,6,2026-04-23,11122.44,5783.67,5338.77,37
463,1,2026-04-24,8830.06,4591.63,4238.43,30
464,2,2026-04-24,7672.93,3989.92,3683.01,23
465,3,2026-04-24,4842.92,2518.32,2324.6,14
466,4,2026-04-24,6597.6,3430.75,3166.85,21
467,5,2026-04-24,8101.63,4212.85,3888.78,30
468,6,2026-04-24,8951.9,4654.99,4296.91,28
469,1,2026-04-25,11239.1,5844.33,5394.77,36
470,2,2026-04-25,9382.83,4879.07,4503.76,27
471,3,2026-04-25,8544.37,4443.07,4101.3,30
472,4,2026-04-25,12924.15,6720.56,6203.59,41
473,5,2026-04-25,6911.76,3594.12,3317.64,20
474,6,2026-04-25,13021.69,6771.28,6250.41,41
475,1,2026-04-26,7659.47,3982.92,3676.55,25
476,2,2026-04-26,3657.29,1901.79,1755.5,13
477,3,2026-04-26,12462.2,6480.34,5981.86,38
478,4,2026-04-26,4325.04,2249.02,2076.02,15
479,5,2026-04-26,8504.64,4422.41,4082.23,27
480,6,2026-04-26,11563.93,6013.24,5550.69,33
481,1,2026-04-27,11172.03,5809.46,5362.57,35
482,2,2026-04-27,5797.0,3014.44,2782.56,22
483,3,2026-04-27,4486.79,2333.13,2153.66,17
484,4,2026-04-27,4214.36,2191.47,2022.89,15
485,5,2026-04-27,10048.44,5225.19,4823.25,38
486,6,2026-04-27,5748.97,2989.46,2759.51,19
487,1,2026-04-28,11496.43,5978.14,5518.29,37
488,2,2026-04-28,8289.97,4310.78,3979.19,29
489,3,2026-04-28,11547.67,6004.79,5542.88,43
490,4,2026-04-28,5263.54,2737.04,2526.5,16
491,5,2026-04-28,12815.43,6664.02,6151.41,39
492,6,2026-04-28,6005.55,3122.89,2882.66,19
493,1,2026-04-29,10751.53,5590.8,5160.73,39
494,2,2026-04-29,8680.39,4513.8,4166.59,27
495,3,2026-04-29,3150.02,1638.01,1512.01,12
496,4,2026-04-29,5282.51,2746.91,2535.6,16
497,5,2026-04-29,11081.77,5762.52,5319.25,37
