event_id,branch_id,event_type,payload,received_at,status
19,1,TRANSACTION_SYNC,"{""transaction_id"":19,""branch_id"":1,""final_amount"":90.28,""payment_method"":""CASH""}",2026-02-06 19:45:01,RECEIVED
20,1,TRANSACTION_SYNC,"{""transaction_id"":20,""branch_id"":1,""final_amount"":236.2,""payment_method"":""CARD""}",2026-02-06 16:26:09,PROCESSED
21,1,TRANSACTION_SYNC,"{""transaction_id"":21,""branch_id"":1,""final_amount"":69.72,""payment_method"":""WALLET""}",2026-02-06 21:30:06,FAILED
22,1,TRANSACTION_SYNC,"{""transaction_id"":22,""branch_id"":1,""final_amount"":560.0,""payment_method"":""CASH""}",2026-02-06 19:52:06,PROCESSED
23,1,TRANSACTION_SYNC,"{""transaction_id"":23,""branch_id"":1,""final_amount"":171.82,""payment_method"":""CARD""}",2026-02-06 20:28:01,PROCESSED
24,1,ALERT,"{""transaction_id"":24,""branch_id"":1,""final_amount"":246.5,""payment_method"":""CASH""}",2026-02-06 20:18:08,PROCESSED
25,1,TRANSACTION_SYNC,"{""transaction_id"":25,""branch_id"":1,""final_amount"":538.06,""payment_method"":""CARD""}",2026-02-06 15:47:01,PROCESSED
26,1,TRANSACTION_SYNC,"{""transaction_id"":26,""branch_id"":1,""final_amount"":262.7,""payment_method"":""CARD""}",2026-02-06 17:34:02,PROCESSED
27,1,TRANSACTION_SYNC,"{""transaction_id"":27,""branch_id"":1,""final_amount"":30.74,""payment_method"":""WALLET""}",2026-02-06 11:32:05,RECEIVED
28,2,TRANSACTION_SYNC,"{""transaction_id"":28,""branch_id"":2,""final_amount"":561.86,""payment_method"":""CARD""}",2026-02-06 16:35:04,PROCESSED
29,2,INVENTORY_UPDATE,"{""transaction_id"":29,""branch_id"":2,""final_amount"":144.16,""payment_method"":""WALLET""}",2026-02-06 10:37:01,PROCESSED
30,2,TRANSACTION_SYNC,"{""transaction_id"":30,""branch_id"":2,""final_amount"":548.96,""payment_method"":""CASH""}",2026-02-06 19:45:05,PROCESSED
31,2,ALERT,"{""transaction_id"":31,""branch_id"":2,""final_amount"":140.58,""payment_method"":""WALLET""}",2026-02-06 15:50:06,FAILED
32,2,TRANSACTION_SYNC,"{""transaction_id"":32,""branch_id"":2,""final_amount"":180.94,""payment_method"":""CASH""}",2026-02-06 16:55:05,PROCESSED
33,2,TRANSACTION_SYNC,"{""transaction_id"":33,""branch_id"":2,""final_amount"":268.35,""payment_method"":""CASH""}",2026-02-06 16:36:05,PROCESSED
34,2,TRANSACTION_SYNC,"{""transaction_id"":34,""branch_id"":2,""final_amount"":127.96,""payment_method"":""CASH""}",2026-02-06 16:42:02,PROCESSED
35,2,TRANSACTION_SYNC,"{""transaction_id"":35,""branch_id"":2,""final_amount"":529.96,""payment_method"":""CASH""}",2026-02-06 09:07:03,PROCESSED
36,2,TRANSACTION_SYNC,"{""transaction_id"":36,""branch_id"":2,""final_amount"":483.87,""payment_method"":""CASH""}",2026-02-06 18:43:08,PROCESSED
37,2,TRANSACTION_SYNC,"{""transaction_id"":37,""branch_id"":2,""final_amount"":351.99,""payment_method"":""CASH""}",2026-02-06 11:37:08,PROCESSED
38,2,TRANSACTION_SYNC,"{""transaction_id"":38,""branch_id"":2,""final_amount"":256.44,""payment_method"":""CASH""}",2026-02-06 21:18:03,PROCESSED
39,2,TRANSACTION_SYNC,"{""transaction_id"":39,""branch_id"":2,""final_amount"":507.57,""payment_method"":""CARD""}",2026-02-06 21:12:06,PROCESSED
40,2,TRANSACTION_SYNC,"{""transaction_id"":40,""branch_id"":2,""final_amount"":306.26,""payment_method"":""CASH""}",2026-02-06 17:58:09,PROCESSED
41,2,TRANSACTION_SYNC,"{""transaction_id"":41,""branch_id"":2,""final_amount"":472.09,""payment_method"":""CARD""}",2026-02-06 17:05:07,PROCESSED
42,2,TRANSACTION_SYNC,"{""transaction_id"":42,""branch_id"":2,""final_amount"":443.11,""payment_method"":""CASH""}",2026-02-06 21:32:08,FAILED
43,2,TRANSACTION_SYNC,"{""transaction_id"":43,""branch_id"":2,""final_amount"":124.94,""payment_method"":""CARD""}",2026-02-06 18:10:06,PROCESSED
44,2,TRANSACTION_SYNC,"{""transaction_id"":44,""branch_id"":2,""final_amount"":470.71,""payment_method"":""CARD""}",2026-02-06 13:11:06,PROCESSED
45,2,INVENTORY_UPDATE,"{""transaction_id"":45,""branch_id"":2,""final_amount"":102.19,""payment_method"":""CARD""}",2026-02-06 15:58:01,PROCESSED
46,2,TRANSACTION_SYNC,"{""transaction_id"":46,""branch_id"":2,""final_amount"":476.18,""payment_method"":""CASH""}",2026-02-06 18:55:07,PROCESSED
47,2,TRANSACTION_SYNC,"{""transaction_id"":47,""branch_id"":2,""final_amount"":529.57,""payment_method"":""CARD""}",2026-02-06 21:28:09,PROCESSED
48,2,TRANSACTION_SYNC,"{""transaction_id"":48,""branch_id"":2,""final_amount"":156.79,""payment_method"":""CASH""}",2026-02-06 13:10:03,PROCESSED
49,2,TRANSACTION_SYNC,"{""transaction_id"":49,""branch_id"":2,""final_amount"":567.88,""payment_method"":""CARD""}",2026-02-06 10:31:05,RECEIVED
50,2,TRANSACTION_SYNC,"{""transaction_id"":50,""branch_id"":2,""final_amount"":486.92,""payment_method"":""CASH""}",2026-02-06 14:54:03,PROCESSED
51,2,TRANSACTION_SYNC,"{""transaction_id"":51,""branch_id"":2,""final_amount"":408.47,""payment_method"":""CASH""}",2026-02-06 12:35:02,PROCESSED
52,2,TRANSACTION_SYNC,"{""transaction_id"":52,""branch_id"":2,""final_amount"":425.37,""payment_method"":""CARD""}",2026-02-06 20:25:09,PROCESSED
53,2,TRANSACTION_SYNC,"{""transaction_id"":53,""branch_id"":2,""final_amount"":322.0,""payment_method"":""CASH""}",2026-02-06 09:13:07,PROCESSED
54,2,TRANSACTION_SYNC,"{""transaction_id"":54,""branch_id"":2,""final_amount"":399.25,""payment_method"":""CARD""}",2026-02-06 09:36:03,PROCESSED
55,2,TRANSACTION_SYNC,"{""transaction_id"":55,""branch_id"":2,""final_amount"":507.46,""payment_method"":""WALLET""}",2026-02-06 13:03:06,PROCESSED
56,2,TRANSACTION_SYNC,"{""transaction_id"":56,""branch_id"":2,""final_amount"":127.72,""payment_method"":""CASH""}",2026-02-06 09:32:05,PROCESSED
57,2,TRANSACTION_SYNC,"{""transaction_id"":57,""branch_id"":2,""final_amount"":535.86,""payment_method"":""CASH""}",2026-02-06 14:27:02,PROCESSED
58,2,TRANSACTION_SYNC,"{""transaction_id"":58,""branch_id"":2,""final_amount"":272.3,""payment_method"":""CASH""}",2026-02-06 12:46:03,PROCESSED
59,2,TRANSACTION_SYNC,"{""transaction_id"":59,""branch_id"":2,""final_amount"":148.79,""payment_method"":""CASH""}",2026-02-06 21:11:03,PROCESSED
60,2,INVENTORY_UPDATE,"{""transaction_id"":60,""branch_id"":2,""final_amount"":300.99,""payment_method"":""CASH""}",2026-02-06 11:41:05,PROCESSED
61,2,INVENTORY_UPDATE,"{""transaction_id"":61,""branch_id"":2,""final_amount"":147.42,""payment_method"":""CASH""}",2026-02-06 15:33:04,PROCESSED
62,2,TRANSACTION_SYNC,"{""transaction_id"":62,""branch_id"":2,""final_amount"":167.72,""payment_method"":""CARD""}",2026-02-06 12:06:05,PROCESSED
63,2,TRANSACTION_SYNC,"{""transaction_id"":63,""branch_id"":2,""final_amount"":539.3,""payment_method"":""CASH""}",2026-02-06 09:42:03,PROCESSED
64,2,TRANSACTION_SYNC,"{""transaction_id"":64,""branch_id"":2,""final_amount"":135.52,""payment_method"":""CASH""}",2026-02-06 12:46:03,PROCESSED
65,2,TRANSACTION_SYNC,"{""transaction_id"":65,""branch_id"":2,""final_amount"":95.02,""payment_method"":""CASH""}",2026-02-06 17:16:08,PROCESSED
66,2,TRANSACTION_SYNC,"{""transaction_id"":66,""branch_id"":2,""final_amount"":287.86,""payment_method"":""CASH""}",2026-02-06 10:53:08,PROCESSED
67,2,TRANSACTION_SYNC,"{""transaction_id"":67,""branch_id"":2,""final_amount"":40.29,""payment_method"":""CARD""}",2026-02-06 11:49:08,PROCESSED
68,3,TRANSACTION_SYNC,"{""transaction_id"":68,""branch_id"":3,""final_amount"":46.56,""payment_method"":""CASH""}",2026-02-06 21:04:04,PROCESSED
69,3,TRANSACTION_SYNC,"{""transaction_id"":69,""branch_id"":3,""final_amount"":263.54,""payment_method"":""CASH""}",2026-02-06 20:23:03,PROCESSED
70,3,TRANSACTION_SYNC,"{""transaction_id"":70,""branch_id"":3,""final_amount"":257.96,""payment_method"":""CARD""}",2026-02-06 13:20:07,PROCESSED
71,3,TRANSACTION_SYNC,"{""transaction_id"":71,""branch_id"":3,""final_amount"":490.79,""payment_method"":""CASH""}",2026-02-06 09:14:05,RECEIVED
72,3,TRANSACTION_SYNC,"{""transaction_id"":72,""branch_id"":3,""final_amount"":215.86,""payment_method"":""CASH""}",2026-02-06 18:15:02,PROCESSED
73,3,TRANSACTION_SYNC,"{""transaction_id"":73,""branch_id"":3,""final_amount"":267.99,""payment_method"":""CASH""}",2026-02-06 13:04:05,PROCESSED
74,3,TRANSACTION_SYNC,"{""transaction_id"":74,""branch_id"":3,""final_amount"":99.51,""payment_method"":""CASH""}",2026-02-06 21:45:04,PROCESSED
75,3,TRANSACTION_SYNC,"{""transaction_id"":75,""branch_id"":3,""final_amount"":272.72,""payment_method"":""CASH""}",2026-02-06 20:34:06,PROCESSED
76,3,TRANSACTION_SYNC,"{""transaction_id"":76,""branch_id"":3,""final_amount"":524.59,""payment_method"":""CARD""}",2026-02-06 13:29:01,PROCESSED
77,3,TRANSACTION_SYNC,"{""transaction_id"":77,""branch_id"":3,""final_amount"":200.65,""payment_method"":""CASH""}",2026-02-06 18:05:06,PROCESSED
78,3,INVENTORY_UPDATE,"{""transaction_id"":78,""branch_id"":3,""final_amount"":521.6,""payment_method"":""CASH""}",2026-02-06 18:37:06,RECEIVED
79,3,TRANSACTION_SYNC,"{""transaction_id"":79,""branch_id"":3,""final_amount"":41.17,""payment_method"":""CASH""}",2026-02-06 10:00:08,PROCESSED
80,3,TRANSACTION_SYNC,"{""transaction_id"":80,""branch_id"":3,""final_amount"":503.3,""payment_method"":""CASH""}",2026-02-06 21:44:05,PROCESSED
81,3,TRANSACTION_SYNC,"{""transaction_id"":81,""branch_id"":3,""final_amount"":569.09,""payment_method"":""CASH""}",2026-02-06 21:26:05,PROCESSED
82,3,TRANSACTION_SYNC,"{""transaction_id"":82,""branch_id"":3,""final_amount"":390.13,""payment_method"":""CASH""}",2026-02-06 13:54:01,PROCESSED
83,3,TRANSACTION_SYNC,"{""transaction_id"":83,""branch_id"":3,""final_amount"":459.17,""payment_method"":""CASH""}",2026-02-06 10:16:01,PROCESSED
84,3,TRANSACTION_SYNC,"{""transaction_id"":84,""branch_id"":3,""final_amount"":252.96,""payment_method"":""CASH""}",2026-02-06 21:32:09,PROCESSED
85,4,TRANSACTION_SYNC,"{""transaction_id"":85,""branch_id"":4,""final_amount"":173.8,""payment_method"":""CARD""}",2026-02-06 11:12:02,PROCESSED
86,4,INVENTORY_UPDATE,"{""transaction_id"":86,""branch_id"":4,""final_amount"":288.83,""payment_method"":""CASH""}",2026-02-06 17:04:04,PROCESSED
87,4,INVENTORY_UPDATE,"{""transaction_id"":87,""branch_id"":4,""final_amount"":346.8,""payment_method"":""CASH""}",2026-02-06 21:46:08,PROCESSED
88,4,TRANSACTION_SYNC,"{""transaction_id"":88,""branch_id"":4,""final_amount"":361.01,""payment_method"":""CASH""}",2026-02-06 16:06:01,RECEIVED
89,4,INVENTORY_UPDATE,"{""transaction_id"":89,""branch_id"":4,""final_amount"":32.73,""payment_method"":""CARD""}",2026-02-06 10:09:02,PROCESSED
90,4,TRANSACTION_SYNC,"{""transaction_id"":90,""branch_id"":4,""final_amount"":433.6,""payment_method"":""CARD""}",2026-02-06 12:05:04,PROCESSED
91,4,TRANSACTION_SYNC,"{""transaction_id"":91,""branch_id"":4,""final_amount"":214.47,""payment_method"":""CASH""}",2026-02-06 09:28:07,PROCESSED
92,4,TRANSACTION_SYNC,"{""transaction_id"":92,""branch_id"":4,""final_amount"":273.0,""payment_method"":""CASH""}",2026-02-06 09:44:08,PROCESSED
93,4,INVENTORY_UPDATE,"{""transaction_id"":93,""branch_id"":4,""final_amount"":383.92,""payment_method"":""WALLET""}",2026-02-06 12:51:04,PROCESSED
94,4,ALERT,"{""transaction_id"":94,""branch_id"":4,""final_amount"":439.46,""payment_method"":""CARD""}",2026-02-06 20:33:02,PROCESSED
95,4,TRANSACTION_SYNC,"{""transaction_id"":95,""branch_id"":4,""final_amount"":37.54,""payment_method"":""CASH""}",2026-02-06 15:02:03,PROCESSED
96,4,TRANSACTION_SYNC,"{""transaction_id"":96,""branch_id"":4,""final_amount"":300.91,""payment_method"":""CASH""}",2026-02-06 17:21:05,PROCESSED
97,4,TRANSACTION_SYNC,"{""transaction_id"":97,""branch_id"":4,""final_amount"":444.22,""payment_method"":""CASH""}",2026-02-06 15:12:09,PROCESSED
98,4,TRANSACTION_SYNC,"{""transaction_id"":98,""branch_id"":4,""final_amount"":52.95,""payment_method"":""CASH""}",2026-02-06 17:34:07,PROCESSED
99,4,TRANSACTION_SYNC,"{""transaction_id"":99,""branch_id"":4,""final_amount"":230.28,""payment_method"":""CASH""}",2026-02-06 21:22:04,RECEIVED
100,4,TRANSACTION_SYNC,"{""transaction_id"":100,""branch_id"":4,""final_amount"":65.98,""payment_method"":""WALLET""}",2026-02-06 14:37:08,PROCESSED
101,4,TRANSACTION_SYNC,"{""transaction_id"":101,""branch_id"":4,""final_amount"":331.51,""payment_method"":""CARD""}",2026-02-06 13:26:04,RECEIVED
102,4,TRANSACTION_SYNC,"{""transaction_id"":102,""branch_id"":4,""final_amount"":106.89,""payment_method"":""CASH""}",2026-02-06 21:49:06,PROCESSED
103,4,TRANSACTION_SYNC,"{""transaction_id"":103,""branch_id"":4,""final_amount"":308.18,""payment_method"":""CASH""}",2026-02-06 17:35:06,PROCESSED
104,4,INVENTORY_UPDATE,"{""transaction_id"":104,""branch_id"":4,""final_amount"":172.06,""payment_method"":""CARD""}",2026-02-06 14:01:08,PROCESSED
105,4,TRANSACTION_SYNC,"{""transaction_id"":105,""branch_id"":4,""final_amount"":160.23,""payment_method"":""CASH""}",2026-02-06 21:32:06,PROCESSED
106,4,TRANSACTION_SYNC,"{""transaction_id"":106,""branch_id"":4,""final_amount"":102.31,""payment_method"":""WALLET""}",2026-02-06 11:41:08,RECEIVED
107,4,TRANSACTION_SYNC,"{""transaction_id"":107,""branch_id"":4,""final_amount"":424.97,""payment_method"":""WALLET""}",2026-02-06 12:46:05,PROCESSED
108,4,TRANSACTION_SYNC,"{""transaction_id"":108,""branch_id"":4,""final_amount"":258.38,""payment_method"":""CARD""}",2026-02-06 20:00:05,PROCESSED
109,5,TRANSACTION_SYNC,"{""transaction_id"":109,""branch_id"":5,""final_amount"":376.07,""payment_method"":""WALLET""}",2026-02-06 11:55:04,PROCESSED
110,5,TRANSACTION_SYNC,"{""transaction_id"":110,""branch_id"":5,""final_amount"":175.0,""payment_method"":""CASH""}",2026-02-06 09:19:04,PROCESSED
111,5,TRANSACTION_SYNC,"{""transaction_id"":111,""branch_id"":5,""final_amount"":386.36,""payment_method"":""CASH""}",2026-02-06 21:31:04,PROCESSED
112,5,TRANSACTION_SYNC,"{""transaction_id"":112,""branch_id"":5,""final_amount"":192.01,""payment_method"":""CARD""}",2026-02-06 09:50:01,PROCESSED
113,5,TRANSACTION_SYNC,"{""transaction_id"":113,""branch_id"":5,""final_amount"":358.33,""payment_method"":""CASH""}",2026-02-06 15:43:08,PROCESSED
114,5,TRANSACTION_SYNC,"{""transaction_id"":114,""branch_id"":5,""final_amount"":131.21,""payment_method"":""CASH""}",2026-02-06 20:26:04,PROCESSED
115,5,TRANSACTION_SYNC,"{""transaction_id"":115,""branch_id"":5,""final_amount"":576.07,""payment_method"":""CASH""}",2026-02-06 21:01:09,PROCESSED
116,5,INVENTORY_UPDATE,"{""transaction_id"":116,""branch_id"":5,""final_amount"":162.12,""payment_method"":""CASH""}",2026-02-06 13:16:05,PROCESSED
117,5,TRANSACTION_SYNC,"{""transaction_id"":117,""branch_id"":5,""final_amount"":241.54,""payment_method"":""CASH""}",2026-02-06 21:10:07,PROCESSED
118,5,TRANSACTION_SYNC,"{""transaction_id"":118,""branch_id"":5,""final_amount"":112.84,""payment_method"":""CASH""}",2026-02-06 16:40:09,PROCESSED
119,5,TRANSACTION_SYNC,"{""transaction_id"":119,""branch_id"":5,""final_amount"":446.96,""payment_method"":""CASH""}",2026-02-06 18:03:01,PROCESSED
120,5,TRANSACTION_SYNC,"{""transaction_id"":120,""branch_id"":5,""final_amount"":311.58,""payment_method"":""CASH""}",2026-02-06 12:32:01,PROCESSED
121,5,TRANSACTION_SYNC,"{""transaction_id"":121,""branch_id"":5,""final_amount"":458.11,""payment_method"":""WALLET""}",2026-02-06 17:20:09,FAILED
122,5,TRANSACTION_SYNC,"{""transaction_id"":122,""branch_id"":5,""final_amount"":587.11,""payment_method"":""CASH""}",2026-02-06 21:15:07,RECEIVED
123,5,TRANSACTION_SYNC,"{""transaction_id"":123,""branch_id"":5,""final_amount"":119.32,""payment_method"":""CARD""}",2026-02-06 12:21:08,FAILED
124,5,TRANSACTION_SYNC,"{""transaction_id"":124,""branch_id"":5,""final_amount"":135.19,""payment_method"":""CASH""}",2026-02-06 12:46:01,PROCESSED
125,5,INVENTORY_UPDATE,"{""transaction_id"":125,""branch_id"":5,""final_amount"":251.54,""payment_method"":""CASH""}",2026-02-06 17:40:07,PROCESSED
126,5,TRANSACTION_SYNC,"{""transaction_id"":126,""branch_id"":5,""final_amount"":351.48,""payment_method"":""CASH""}",2026-02-06 11:39:02,PROCESSED
127,5,TRANSACTION_SYNC,"{""transaction_id"":127,""branch_id"":5,""final_amount"":304.29,""payment_method"":""CARD""}",2026-02-06 16:28:05,PROCESSED
128,5,TRANSACTION_SYNC,"{""transaction_id"":128,""branch_id"":5,""final_amount"":121.02,""payment_method"":""CASH""}",2026-02-06 17:28:08,PROCESSED
129,5,TRANSACTION_SYNC,"{""transaction_id"":129,""branch_id"":5,""final_amount"":450.33,""payment_method"":""CASH""}",2026-02-06 19:29:04,PROCESSED
130,6,TRANSACTION_SYNC,"{""transaction_id"":130,""branch_id"":6,""final_amount"":226.9,""payment_method"":""CASH""}",2026-02-06 14:53:03,RECEIVED
131,6,TRANSACTION_SYNC,"{""transaction_id"":131,""branch_id"":6,""final_amount"":445.59,""payment_method"":""CARD""}",2026-02-06 17:27:05,PROCESSED
132,6,TRANSACTION_SYNC,"{""transaction_id"":132,""branch_id"":6,""final_amount"":84.96,""payment_method"":""CARD""}",2026-02-06 12:49:05,PROCESSED
133,6,TRANSACTION_SYNC,"{""transaction_id"":133,""branch_id"":6,""final_amount"":41.53,""payment_method"":""WALLET""}",2026-02-06 09:12:04,PROCESSED
134,6,TRANSACTION_SYNC,"{""transaction_id"":134,""branch_id"":6,""final_amount"":565.52,""payment_method"":""CASH""}",2026-02-06 11:29:07,PROCESSED
135,6,TRANSACTION_SYNC,"{""transaction_id"":135,""branch_id"":6,""final_amount"":301.47,""payment_method"":""CASH""}",2026-02-06 12:18:04,PROCESSED
136,6,TRANSACTION_SYNC,"{""transaction_id"":136,""branch_id"":6,""final_amount"":398.01,""payment_method"":""CASH""}",2026-02-06 12:51:06,PROCESSED
137,6,TRANSACTION_SYNC,"{""transaction_id"":137,""branch_id"":6,""final_amount"":551.05,""payment_method"":""CARD""}",2026-02-06 14:11:03,PROCESSED
138,6,TRANSACTION_SYNC,"{""transaction_id"":138,""branch_id"":6,""final_amount"":220.54,""payment_method"":""CARD""}",2026-02-06 16:00:05,PROCESSED
139,6,TRANSACTION_SYNC,"{""transaction_id"":139,""branch_id"":6,""final_amount"":41.71,""payment_method"":""CARD""}",2026-02-06 09:27:04,RECEIVED
140,6,TRANSACTION_SYNC,"{""transaction_id"":140,""branch_id"":6,""final_amount"":423.3,""payment_method"":""CASH""}",2026-02-06 18:21:01,PROCESSED
141,6,TRANSACTION_SYNC,"{""transaction_id"":141,""branch_id"":6,""final_amount"":576.94,""payment_method"":""CASH""}",2026-02-06 12:42:02,PROCESSED
142,6,TRANSACTION_SYNC,"{""transaction_id"":142,""branch_id"":6,""final_amount"":455.44,""payment_method"":""CASH""}",2026-02-06 10:50:08,PROCESSED
143,6,TRANSACTION_SYNC,"{""transaction_id"":143,""branch_id"":6,""final_amount"":418.09,""payment_method"":""CASH""}",2026-02-06 12:54:05,PROCESSED
144,6,TRANSACTION_SYNC,"{""transaction_id"":144,""branch_id"":6,""final_amount"":60.62,""payment_method"":""CASH""}",2026-02-06 15:10:01,PROCESSED
145,6,TRANSACTION_SYNC,"{""transaction_id"":145,""branch_id"":6,""final_amount"":525.95,""payment_method"":""CASH""}",2026-02-06 20:50:02,PROCESSED
146,6,TRANSACTION_SYNC,"{""transaction_id"":146,""branch_id"":6,""final_amount"":113.94,""payment_method"":""CARD""}",2026-02-06 19:03:05,PROCESSED
147,6,TRANSACTION_SYNC,"{""transaction_id"":147,""branch_id"":6,""final_amount"":48.78,""payment_method"":""CASH""}",2026-02-06 13:41:01,PROCESSED
148,6,TRANSACTION_SYNC,"{""transaction_id"":148,""branch_id"":6,""final_amount"":359.64,""payment_method"":""CASH""}",2026-02-06 12:16:01,PROCESSED
149,6,ALERT,"{""transaction_id"":149,""branch_id"":6,""final_amount"":505.6,""payment_method"":""CASH""}",2026-02-06 09:40:07,PROCESSED
150,6,INVENTORY_UPDATE,"{""transaction_id"":150,""branch_id"":6,""final_amount"":200.0,""payment_method"":""CASH""}",2026-02-06 21:14:02,RECEIVED
151,1,TRANSACTION_SYNC,"{""transaction_id"":151,""branch_id"":1,""final_amount"":469.91,""payment_method"":""CASH""}",2026-02-07 12:28:09,PROCESSED
152,1,INVENTORY_UPDATE,"{""transaction_id"":152,""branch_id"":1,""final_amount"":536.55,""payment_method"":""CASH""}",2026-02-07 14:29:04,PROCESSED
153,1,TRANSACTION_SYNC,"{""transaction_id"":153,""branch_id"":1,""final_amount"":87.26,""payment_method"":""CASH""}",2026-02-07 13:55:02,PROCESSED
154,1,TRANSACTION_SYNC,"{""transaction_id"":154,""branch_id"":1,""final_amount"":38.42,""payment_method"":""CASH""}",2026-02-07 10:04:04,RECEIVED
155,1,INVENTORY_UPDATE,"{""transaction_id"":155,""branch_id"":1,""final_amount"":75.01,""payment_method"":""CARD""}",2026-02-07 21:23:07,PROCESSED
156,1,TRANSACTION_SYNC,"{""transaction_id"":156,""branch_id"":1,""final_amount"":255.34,""payment_method"":""CASH""}",2026-02-07 12:32:09,PROCESSED
157,1,TRANSACTION_SYNC,"{""transaction_id"":157,""branch_id"":1,""final_amount"":212.77,""payment_method"":""CASH""}",2026-02-07 19:52:03,PROCESSED
158,1,TRANSACTION_SYNC,"{""transaction_id"":158,""branch_id"":1,""final_amount"":371.3,""payment_method"":""CARD""}",2026-02-07 17:20:03,PROCESSED
159,1,TRANSACTION_SYNC,"{""transaction_id"":159,""branch_id"":1,""final_amount"":378.97,""payment_method"":""CASH""}",2026-02-07 20:13:01,PROCESSED
160,1,TRANSACTION_SYNC,"{""transaction_id"":160,""branch_id"":1,""final_amount"":46.75,""payment_method"":""CARD""}",2026-02-07 11:12:01,PROCESSED
161,1,TRANSACTION_SYNC,"{""transaction_id"":161,""branch_id"":1,""final_amount"":121.23,""payment_method"":""CARD""}",2026-02-07 13:05:07,PROCESSED
162,1,TRANSACTION_SYNC,"{""transaction_id"":162,""branch_id"":1,""final_amount"":134.15,""payment_method"":""CARD""}",2026-02-07 19:39:07,FAILED
163,1,TRANSACTION_SYNC,"{""transaction_id"":163,""branch_id"":1,""final_amount"":395.82,""payment_method"":""CARD""}",2026-02-07 13:33:08,PROCESSED
164,1,INVENTORY_UPDATE,"{""transaction_id"":164,""branch_id"":1,""final_amount"":98.85,""payment_method"":""CASH""}",2026-02-07 21:30:04,PROCESSED
165,1,INVENTORY_UPDATE,"{""transaction_id"":165,""branch_id"":1,""final_amount"":433.76,""payment_method"":""CARD""}",2026-02-07 10:55:02,RECEIVED
166,1,TRANSACTION_SYNC,"{""transaction_id"":166,""branch_id"":1,""final_amount"":127.69,""payment_method"":""CARD""}",2026-02-07 17:37:02,PROCESSED
167,1,TRANSACTION_SYNC,"{""transaction_id"":167,""branch_id"":1,""final_amount"":463.46,""payment_method"":""CARD""}",2026-02-07 11:42:01,PROCESSED
168,1,TRANSACTION_SYNC,"{""transaction_id"":168,""branch_id"":1,""final_amount"":477.53,""payment_method"":""CASH""}",2026-02-07 21:32:02,PROCESSED
