analytics_id,branch_id,product_id,month,total_sold,total_revenue,total_cost,profit,classification
33,1,33,2026-02-01,96,816.0,432.0,384.0,NORMAL
34,1,34,2026-02-01,23,437.0,230.0,207.0,NORMAL
35,1,35,2026-02-01,79,4108.0,2212.0,1896.0,NORMAL
36,1,36,2026-02-01,61,1342.0,732.0,610.0,NORMAL
37,1,37,2026-02-01,76,912.0,494.0,418.0,NORMAL
38,1,38,2026-02-01,11,825.0,440.0,385.0,SLOW_MOVER
39,1,39,2026-02-01,45,1170.0,630.0,540.0,NORMAL
40,1,40,2026-02-01,86,2408.0,1290.0,1118.0,NORMAL
41,1,41,2026-02-01,49,7595.0,4165.0,3430.0,NORMAL
42,1,42,2026-02-01,57,7410.0,3990.0,3420.0,NORMAL
43,1,43,2026-02-01,83,2822.0,1494.0,1328.0,NORMAL
44,1,44,2026-02-01,20,840.0,440.0,400.0,NORMAL
45,1,45,2026-02-01,30,780.0,420.0,360.0,NORMAL
46,1,46,2026-02-01,78,1716.0,936.0,780.0,NORMAL
47,1,47,2026-02-01,55,4675.0,2475.0,2200.0,NORMAL
48,1,48,2026-02-01,72,5184.0,2736.0,2448.0,NORMAL
49,1,49,2026-02-01,90,2520.0,1350.0,1170.0,NORMAL
50,1,50,2026-02-01,15,1725.0,900.0,825.0,SLOW_MOVER
51,1,51,2026-02-01,30,1560.0,840.0,720.0,NORMAL
52,1,52,2026-02-01,52,5200.0,2860.0,2340.0,NORMAL
53,1,53,2026-02-01,60,2520.0,1320.0,1200.0,NORMAL
54,1,54,2026-02-01,14,364.0,196.0,168.0,SLOW_MOVER
55,1,55,2026-02-01,5,325.0,175.0,150.0,SLOW_MOVER
56,1,56,2026-02-01,382,6494.0,3438.0,3056.0,FAST_MOVER
57,1,57,2026-02-01,267,2536.5,1335.0,1201.5,FAST_MOVER
58,1,58,2026-02-01,23,506.0,276.0,230.0,NORMAL
59,1,59,2026-02-01,28,4060.0,2240.0,1820.0,NORMAL
60,1,60,2026-02-01,11,1210.0,660.0,550.0,SLOW_MOVER
61,2,1,2026-02-01,33,577.5,297.0,280.5,NORMAL
62,2,2,2026-02-01,71,1171.5,603.5,568.0,NORMAL
63,2,3,2026-02-01,33,462.0,247.5,214.5,NORMAL
64,2,4,2026-02-01,57,1995.0,1026.0,969.0,NORMAL
65,2,5,2026-02-01,69,6555.0,3795.0,2760.0,NORMAL
66,2,6,2026-02-01,28,616.0,336.0,280.0,NORMAL
67,2,7,2026-02-01,22,924.0,484.0,440.0,NORMAL
68,2,8,2026-02-01,20,1040.0,560.0,480.0,NORMAL
69,2,9,2026-02-01,229,1259.5,641.2,618.3,FAST_MOVER
70,2,10,2026-02-01,227,794.5,408.6,385.9,FAST_MOVER
71,2,11,2026-02-01,26,507.0,260.0,247.0,NORMAL
72,2,12,2026-02-01,360,6120.0,3240.0,2880.0,FAST_MOVER
73,2,13,2026-02-01,312,5304.0,2808.0,2496.0,FAST_MOVER
74,2,14,2026-02-01,70,665.0,350.0,315.0,NORMAL
75,2,15,2026-02-01,73,8760.0,4745.0,4015.0,NORMAL
76,2,16,2026-02-01,29,1392.0,725.0,667.0,NORMAL
77,2,17,2026-02-01,92,3220.0,1656.0,1564.0,NORMAL
78,2,18,2026-02-01,100,1200.0,650.0,550.0,NORMAL
79,2,19,2026-02-01,221,2983.5,1547.0,1436.5,FAST_MOVER
80,2,20,2026-02-01,14,588.0,308.0,280.0,SLOW_MOVER
81,2,21,2026-02-01,258,2709.0,1419.0,1290.0,FAST_MOVER
82,2,22,2026-02-01,63,1197.0,630.0,567.0,NORMAL
83,2,23,2026-02-01,31,620.0,325.5,294.5,NORMAL
84,2,24,2026-02-01,59,1121.0,590.0,531.0,NORMAL
85,2,25,2026-02-01,62,1550.0,806.0,744.0,NORMAL
86,2,26,2026-02-01,2,70.0,36.0,34.0,SLOW_MOVER
87,2,27,2026-02-01,329,14805.0,7896.0,6909.0,FAST_MOVER
88,2,28,2026-02-01,180,2520.0,1350.0,1170.0,FAST_MOVER
89,2,29,2026-02-01,188,2632.0,1410.0,1222.0,FAST_MOVER
90,2,30,2026-02-01,246,6396.0,3444.0,2952.0,FAST_MOVER
91,2,31,2026-02-01,171,8892.0,4788.0,4104.0,FAST_MOVER
92,2,32,2026-02-01,21,1176.0,630.0,546.0,NORMAL
93,2,33,2026-02-01,27,229.5,121.5,108.0,NORMAL
94,2,34,2026-02-01,79,1501.0,790.0,711.0,NORMAL
95,2,35,2026-02-01,82,4264.0,2296.0,1968.0,NORMAL
96,2,36,2026-02-01,42,924.0,504.0,420.0,NORMAL
97,2,37,2026-02-01,91,1092.0,591.5,500.5,NORMAL
98,2,38,2026-02-01,5,375.0,200.0,175.0,SLOW_MOVER
99,2,39,2026-02-01,77,2002.0,1078.0,924.0,NORMAL
100,2,40,2026-02-01,85,2380.0,1275.0,1105.0,NORMAL
101,2,41,2026-02-01,44,6820.0,3740.0,3080.0,NORMAL
102,2,42,2026-02-01,36,4680.0,2520.0,2160.0,NORMAL
103,2,43,2026-02-01,73,2482.0,1314.0,1168.0,NORMAL
104,2,44,2026-02-01,69,2898.0,1518.0,1380.0,NORMAL
105,2,45,2026-02-01,34,884.0,476.0,408.0,NORMAL
106,2,46,2026-02-01,70,1540.0,840.0,700.0,NORMAL
107,2,47,2026-02-01,73,6205.0,3285.0,2920.0,NORMAL
108,2,48,2026-02-01,47,3384.0,1786.0,1598.0,NORMAL
109,2,49,2026-02-01,20,560.0,300.0,260.0,NORMAL
110,2,50,2026-02-01,6,690.0,360.0,330.0,SLOW_MOVER
111,2,51,2026-02-01,95,4940.0,2660.0,2280.0,NORMAL
112,2,52,2026-02-01,58,5800.0,3190.0,2610.0,NORMAL
113,2,53,2026-02-01,22,924.0,484.0,440.0,NORMAL
114,2,54,2026-02-01,5,130.0,70.0,60.0,SLOW_MOVER
115,2,55,2026-02-01,4,260.0,140.0,120.0,SLOW_MOVER
116,2,56,2026-02-01,321,5457.0,2889.0,2568.0,FAST_MOVER
117,2,57,2026-02-01,171,1624.5,855.0,769.5,FAST_MOVER
118,2,58,2026-02-01,25,550.0,300.0,250.0,NORMAL
119,2,59,2026-02-01,38,5510.0,3040.0,2470.0,NORMAL
120,2,60,2026-02-01,5,550.0,300.0,250.0,SLOW_MOVER
121,3,1,2026-02-01,76,1330.0,684.0,646.0,NORMAL
122,3,2,2026-02-01,53,874.5,450.5,424.0,NORMAL
123,3,3,2026-02-01,21,294.0,157.5,136.5,NORMAL
124,3,4,2026-02-01,98,3430.0,1764.0,1666.0,NORMAL
125,3,5,2026-02-01,62,5890.0,3410.0,2480.0,NORMAL
126,3,6,2026-02-01,57,1254.0,684.0,570.0,NORMAL
127,3,7,2026-02-01,69,2898.0,1518.0,1380.0,NORMAL
128,3,8,2026-02-01,29,1508.0,812.0,696.0,NORMAL
129,3,9,2026-02-01,158,869.0,442.4,426.6,FAST_MOVER
130,3,10,2026-02-01,166,581.0,298.8,282.2,FAST_MOVER
131,3,11,2026-02-01,46,897.0,460.0,437.0,NORMAL
132,3,12,2026-02-01,244,4148.0,2196.0,1952.0,FAST_MOVER
133,3,13,2026-02-01,127,2159.0,1143.0,1016.0,FAST_MOVER
134,3,14,2026-02-01,96,912.0,480.0,432.0,NORMAL
135,3,15,2026-02-01,67,8040.0,4355.0,3685.0,NORMAL
136,3,16,2026-02-01,67,3216.0,1675.0,1541.0,NORMAL
137,3,17,2026-02-01,99,3465.0,1782.0,1683.0,NORMAL
138,3,18,2026-02-01,78,936.0,507.0,429.0,NORMAL
139,3,19,2026-02-01,185,2497.5,1295.0,1202.5,FAST_MOVER
140,3,20,2026-02-01,11,462.0,242.0,220.0,SLOW_MOVER
141,3,21,2026-02-01,367,3853.5,2018.5,1835.0,FAST_MOVER
142,3,22,2026-02-01,93,1767.0,930.0,837.0,NORMAL
143,3,23,2026-02-01,37,740.0,388.5,351.5,NORMAL
144,3,24,2026-02-01,69,1311.0,690.0,621.0,NORMAL
145,3,25,2026-02-01,43,1075.0,559.0,516.0,NORMAL
146,3,26,2026-02-01,12,420.0,216.0,204.0,SLOW_MOVER
147,3,27,2026-02-01,198,8910.0,4752.0,4158.0,FAST_MOVER
148,3,28,2026-02-01,279,3906.0,2092.5,1813.5,FAST_MOVER
149,3,29,2026-02-01,236,3304.0,1770.0,1534.0,FAST_MOVER
150,3,30,2026-02-01,247,6422.0,3458.0,2964.0,FAST_MOVER
151,3,31,2026-02-01,217,11284.0,6076.0,5208.0,FAST_MOVER
152,3,32,2026-02-01,40,2240.0,1200.0,1040.0,NORMAL
153,3,33,2026-02-01,100,850.0,450.0,400.0,NORMAL
154,3,34,2026-02-01,90,1710.0,900.0,810.0,NORMAL
155,3,35,2026-02-01,45,2340.0,1260.0,1080.0,NORMAL
156,3,36,2026-02-01,69,1518.0,828.0,690.0,NORMAL
157,3,37,2026-02-01,81,972.0,526.5,445.5,NORMAL
158,3,38,2026-02-01,11,825.0,440.0,385.0,SLOW_MOVER
159,3,39,2026-02-01,30,780.0,420.0,360.0,NORMAL
160,3,40,2026-02-01,73,2044.0,1095.0,949.0,NORMAL
161,3,41,2026-02-01,26,4030.0,2210.0,1820.0,NORMAL
162,3,42,2026-02-01,33,4290.0,2310.0,1980.0,NORMAL
163,3,43,2026-02-01,33,1122.0,594.0,528.0,NORMAL
164,3,44,2026-02-01,24,1008.0,528.0,480.0,NORMAL
165,3,45,2026-02-01,85,2210.0,1190.0,1020.0,NORMAL
166,3,46,2026-02-01,52,1144.0,624.0,520.0,NORMAL
167,3,47,2026-02-01,50,4250.0,2250.0,2000.0,NORMAL
168,3,48,2026-02-01,70,5040.0,2660.0,2380.0,NORMAL
169,3,49,2026-02-01,52,1456.0,780.0,676.0,NORMAL
170,3,50,2026-02-01,8,920.0,480.0,440.0,SLOW_MOVER
171,3,51,2026-02-01,96,4992.0,2688.0,2304.0,NORMAL
172,3,52,2026-02-01,82,8200.0,4510.0,3690.0,NORMAL
173,3,53,2026-02-01,57,2394.0,1254.0,1140.0,NORMAL
174,3,54,2026-02-01,10,260.0,140.0,120.0,SLOW_MOVER
175,3,55,2026-02-01,4,260.0,140.0,120.0,SLOW_MOVER
176,3,56,2026-02-01,155,2635.0,1395.0,1240.0,FAST_MOVER
177,3,57,2026-02-01,184,1748.0,920.0,828.0,FAST_MOVER
178,3,58,2026-02-01,49,1078.0,588.0,490.0,NORMAL
179,3,59,2026-02-01,81,11745.0,6480.0,5265.0,NORMAL
180,3,60,2026-02-01,10,1100.0,600.0,500.0,SLOW_MOVER
181,4,1,2026-02-01,98,1715.0,882.0,833.0,NORMAL
182,4,2,2026-02-01,98,1617.0,833.0,784.0,NORMAL
183,4,3,2026-02-01,29,406.0,217.5,188.5,NORMAL
184,4,4,2026-02-01,55,1925.0,990.0,935.0,NORMAL
185,4,5,2026-02-01,47,4465.0,2585.0,1880.0,NORMAL
186,4,6,2026-02-01,46,1012.0,552.0,460.0,NORMAL
187,4,7,2026-02-01,22,924.0,484.0,440.0,NORMAL
188,4,8,2026-02-01,28,1456.0,784.0,672.0,NORMAL
189,4,9,2026-02-01,257,1413.5,719.6,693.9,FAST_MOVER
190,4,10,2026-02-01,330,1155.0,594.0,561.0,FAST_MOVER
191,4,11,2026-02-01,77,1501.5,770.0,731.5,NORMAL
192,4,12,2026-02-01,247,4199.0,2223.0,1976.0,FAST_MOVER
193,4,13,2026-02-01,150,2550.0,1350.0,1200.0,FAST_MOVER
194,4,14,2026-02-01,25,237.5,125.0,112.5,NORMAL
195,4,15,2026-02-01,42,5040.0,2730.0,2310.0,NORMAL
196,4,16,2026-02-01,56,2688.0,1400.0,1288.0,NORMAL
197,4,17,2026-02-01,67,2345.0,1206.0,1139.0,NORMAL
198,4,18,2026-02-01,87,1044.0,565.5,478.5,NORMAL
199,4,19,2026-02-01,187,2524.5,1309.0,1215.5,FAST_MOVER
200,4,20,2026-02-01,3,126.0,66.0,60.0,SLOW_MOVER
201,4,21,2026-02-01,305,3202.5,1677.5,1525.0,FAST_MOVER
202,4,22,2026-02-01,37,703.0,370.0,333.0,NORMAL
203,4,23,2026-02-01,77,1540.0,808.5,731.5,NORMAL
204,4,24,2026-02-01,62,1178.0,620.0,558.0,NORMAL
205,4,25,2026-02-01,86,2150.0,1118.0,1032.0,NORMAL
206,4,26,2026-02-01,11,385.0,198.0,187.0,SLOW_MOVER
207,4,27,2026-02-01,191,8595.0,4584.0,4011.0,FAST_MOVER
208,4,28,2026-02-01,137,1918.0,1027.5,890.5,FAST_MOVER
209,4,29,2026-02-01,129,1806.0,967.5,838.5,FAST_MOVER
210,4,30,2026-02-01,363,9438.0,5082.0,4356.0,FAST_MOVER
211,4,31,2026-02-01,303,15756.0,8484.0,7272.0,FAST_MOVER
212,4,32,2026-02-01,59,3304.0,1770.0,1534.0,NORMAL
213,4,33,2026-02-01,24,204.0,108.0,96.0,NORMAL
214,4,34,2026-02-01,22,418.0,220.0,198.0,NORMAL
215,4,35,2026-02-01,96,4992.0,2688.0,2304.0,NORMAL
216,4,36,2026-02-01,29,638.0,348.0,290.0,NORMAL
217,4,37,2026-02-01,81,972.0,526.5,445.5,NORMAL
218,4,38,2026-02-01,3,225.0,120.0,105.0,SLOW_MOVER
219,4,39,2026-02-01,59,1534.0,826.0,708.0,NORMAL
220,4,40,2026-02-01,60,1680.0,900.0,780.0,NORMAL
221,4,41,2026-02-01,37,5735.0,3145.0,2590.0,NORMAL
222,4,42,2026-02-01,29,3770.0,2030.0,1740.0,NORMAL
223,4,43,2026-02-01,29,986.0,522.0,464.0,NORMAL
224,4,44,2026-02-01,77,3234.0,1694.0,1540.0,NORMAL
225,4,45,2026-02-01,89,2314.0,1246.0,1068.0,NORMAL
226,4,46,2026-02-01,67,1474.0,804.0,670.0,NORMAL
227,4,47,2026-02-01,25,2125.0,1125.0,1000.0,NORMAL
228,4,48,2026-02-01,36,2592.0,1368.0,1224.0,NORMAL
229,4,49,2026-02-01,63,1764.0,945.0,819.0,NORMAL
230,4,50,2026-02-01,7,805.0,420.0,385.0,SLOW_MOVER
231,4,51,2026-02-01,30,1560.0,840.0,720.0,NORMAL
232,4,52,2026-02-01,80,8000.0,4400.0,3600.0,NORMAL
233,4,53,2026-02-01,29,1218.0,638.0,580.0,NORMAL
234,4,54,2026-02-01,15,390.0,210.0,180.0,SLOW_MOVER
235,4,55,2026-02-01,15,975.0,525.0,450.0,SLOW_MOVER
236,4,56,2026-02-01,333,5661.0,2997.0,2664.0,FAST_MOVER
237,4,57,2026-02-01,135,1282.5,675.0,607.5,FAST_MOVER
238,4,58,2026-02-01,83,1826.0,996.0,830.0,NORMAL
239,4,59,2026-02-01,93,13485.0,7440.0,6045.0,NORMAL
240,4,60,2026-02-01,2,220.0,120.0,100.0,SLOW_MOVER
241,5,1,2026-02-01,99,1732.5,891.0,841.5,NORMAL
242,5,2,2026-02-01,68,1122.0,578.0,544.0,NORMAL
243,5,3,2026-02-01,68,952.0,510.0,442.0,NORMAL
244,5,4,2026-02-01,94,3290.0,1692.0,1598.0,NORMAL
245,5,5,2026-02-01,21,1995.0,1155.0,840.0,NORMAL
246,5,6,2026-02-01,97,2134.0,1164.0,970.0,NORMAL
247,5,7,2026-02-01,29,1218.0,638.0,580.0,NORMAL
248,5,8,2026-02-01,30,1560.0,840.0,720.0,NORMAL
249,5,9,2026-02-01,166,913.0,464.8,448.2,FAST_MOVER
250,5,10,2026-02-01,179,626.5,322.2,304.3,FAST_MOVER
251,5,11,2026-02-01,52,1014.0,520.0,494.0,NORMAL
252,5,12,2026-02-01,333,5661.0,2997.0,2664.0,FAST_MOVER
253,5,13,2026-02-01,289,4913.0,2601.0,2312.0,FAST_MOVER
254,5,14,2026-02-01,69,655.5,345.0,310.5,NORMAL
255,5,15,2026-02-01,94,11280.0,6110.0,5170.0,NORMAL
256,5,16,2026-02-01,78,3744.0,1950.0,1794.0,NORMAL
257,5,17,2026-02-01,76,2660.0,1368.0,1292.0,NORMAL
258,5,18,2026-02-01,79,948.0,513.5,434.5,NORMAL
259,5,19,2026-02-01,397,5359.5,2779.0,2580.5,FAST_MOVER
260,5,20,2026-02-01,3,126.0,66.0,60.0,SLOW_MOVER
261,5,21,2026-02-01,385,4042.5,2117.5,1925.0,FAST_MOVER
262,5,22,2026-02-01,85,1615.0,850.0,765.0,NORMAL
263,5,23,2026-02-01,23,460.0,241.5,218.5,NORMAL
264,5,24,2026-02-01,59,1121.0,590.0,531.0,NORMAL
265,5,25,2026-02-01,96,2400.0,1248.0,1152.0,NORMAL
266,5,26,2026-02-01,3,105.0,54.0,51.0,SLOW_MOVER
267,5,27,2026-02-01,366,16470.0,8784.0,7686.0,FAST_MOVER
268,5,28,2026-02-01,131,1834.0,982.5,851.5,FAST_MOVER
269,5,29,2026-02-01,237,3318.0,1777.5,1540.5,FAST_MOVER
270,5,30,2026-02-01,177,4602.0,2478.0,2124.0,FAST_MOVER
271,5,31,2026-02-01,374,19448.0,10472.0,8976.0,FAST_MOVER
272,5,32,2026-02-01,98,5488.0,2940.0,2548.0,NORMAL
273,5,33,2026-02-01,82,697.0,369.0,328.0,NORMAL
274,5,34,2026-02-01,52,988.0,520.0,468.0,NORMAL
275,5,35,2026-02-01,21,1092.0,588.0,504.0,NORMAL
276,5,36,2026-02-01,67,1474.0,804.0,670.0,NORMAL
277,5,37,2026-02-01,58,696.0,377.0,319.0,NORMAL
278,5,38,2026-02-01,4,300.0,160.0,140.0,SLOW_MOVER
279,5,39,2026-02-01,98,2548.0,1372.0,1176.0,NORMAL
280,5,40,2026-02-01,45,1260.0,675.0,585.0,NORMAL
281,5,41,2026-02-01,86,13330.0,7310.0,6020.0,NORMAL
282,5,42,2026-02-01,41,5330.0,2870.0,2460.0,NORMAL
283,5,43,2026-02-01,63,2142.0,1134.0,1008.0,NORMAL
284,5,44,2026-02-01,76,3192.0,1672.0,1520.0,NORMAL
285,5,45,2026-02-01,83,2158.0,1162.0,996.0,NORMAL
286,5,46,2026-02-01,50,1100.0,600.0,500.0,NORMAL
287,5,47,2026-02-01,61,5185.0,2745.0,2440.0,NORMAL
288,5,48,2026-02-01,71,5112.0,2698.0,2414.0,NORMAL
289,5,49,2026-02-01,52,1456.0,780.0,676.0,NORMAL
290,5,50,2026-02-01,5,575.0,300.0,275.0,SLOW_MOVER
291,5,51,2026-02-01,75,3900.0,2100.0,1800.0,NORMAL
292,5,52,2026-02-01,45,4500.0,2475.0,2025.0,NORMAL
293,5,53,2026-02-01,47,1974.0,1034.0,940.0,NORMAL
294,5,54,2026-02-01,8,208.0,112.0,96.0,SLOW_MOVER
295,5,55,2026-02-01,5,325.0,175.0,150.0,SLOW_MOVER
296,5,56,2026-02-01,282,4794.0,2538.0,2256.0,FAST_MOVER
297,5,57,2026-02-01,227,2156.5,1135.0,1021.5,FAST_MOVER
298,5,58,2026-02-01,37,814.0,444.0,370.0,NORMAL
299,5,59,2026-02-01,37,5365.0,2960.0,2405.0,NORMAL
300,5,60,2026-02-01,9,990.0,540.0,450.0,SLOW_MOVER
301,6,1,2026-02-01,64,1120.0,576.0,544.0,NORMAL
302,6,2,2026-02-01,25,412.5,212.5,200.0,NORMAL
303,6,3,2026-02-01,28,392.0,210.0,182.0,NORMAL
304,6,4,2026-02-01,55,1925.0,990.0,935.0,NORMAL
305,6,5,2026-02-01,41,3895.0,2255.0,1640.0,NORMAL
306,6,6,2026-02-01,34,748.0,408.0,340.0,NORMAL
307,6,7,2026-02-01,77,3234.0,1694.0,1540.0,NORMAL
308,6,8,2026-02-01,80,4160.0,2240.0,1920.0,NORMAL
309,6,9,2026-02-01,260,1430.0,728.0,702.0,FAST_MOVER
310,6,10,2026-02-01,229,801.5,412.2,389.3,FAST_MOVER
311,6,11,2026-02-01,72,1404.0,720.0,684.0,NORMAL
312,6,12,2026-02-01,315,5355.0,2835.0,2520.0,FAST_MOVER
313,6,13,2026-02-01,386,6562.0,3474.0,3088.0,FAST_MOVER
314,6,14,2026-02-01,83,788.5,415.0,373.5,NORMAL
315,6,15,2026-02-01,60,7200.0,3900.0,3300.0,NORMAL
316,6,16,2026-02-01,99,4752.0,2475.0,2277.0,NORMAL
317,6,17,2026-02-01,77,2695.0,1386.0,1309.0,NORMAL
318,6,18,2026-02-01,61,732.0,396.5,335.5,NORMAL
319,6,19,2026-02-01,158,2133.0,1106.0,1027.0,FAST_MOVER
320,6,20,2026-02-01,15,630.0,330.0,300.0,SLOW_MOVER
321,6,21,2026-02-01,136,1428.0,748.0,680.0,FAST_MOVER
322,6,22,2026-02-01,55,1045.0,550.0,495.0,NORMAL
323,6,23,2026-02-01,97,1940.0,1018.5,921.5,NORMAL
324,6,24,2026-02-01,25,475.0,250.0,225.0,NORMAL
325,6,25,2026-02-01,55,1375.0,715.0,660.0,NORMAL
326,6,26,2026-02-01,11,385.0,198.0,187.0,SLOW_MOVER
327,6,27,2026-02-01,301,13545.0,7224.0,6321.0,FAST_MOVER
328,6,28,2026-02-01,278,3892.0,2085.0,1807.0,FAST_MOVER
329,6,29,2026-02-01,129,1806.0,967.5,838.5,FAST_MOVER
330,6,30,2026-02-01,189,4914.0,2646.0,2268.0,FAST_MOVER
331,6,31,2026-02-01,327,17004.0,9156.0,7848.0,FAST_MOVER
332,6,32,2026-02-01,78,4368.0,2340.0,2028.0,NORMAL
333,6,33,2026-02-01,44,374.0,198.0,176.0,NORMAL
334,6,34,2026-02-01,23,437.0,230.0,207.0,NORMAL
335,6,35,2026-02-01,54,2808.0,1512.0,1296.0,NORMAL
336,6,36,2026-02-01,50,1100.0,600.0,500.0,NORMAL
337,6,37,2026-02-01,38,456.0,247.0,209.0,NORMAL
338,6,38,2026-02-01,14,1050.0,560.0,490.0,SLOW_MOVER
339,6,39,2026-02-01,26,676.0,364.0,312.0,NORMAL
340,6,40,2026-02-01,100,2800.0,1500.0,1300.0,NORMAL
341,6,41,2026-02-01,34,5270.0,2890.0,2380.0,NORMAL
342,6,42,2026-02-01,77,10010.0,5390.0,4620.0,NORMAL
343,6,43,2026-02-01,33,1122.0,594.0,528.0,NORMAL
344,6,44,2026-02-01,100,4200.0,2200.0,2000.0,NORMAL
345,6,45,2026-02-01,88,2288.0,1232.0,1056.0,NORMAL
346,6,46,2026-02-01,67,1474.0,804.0,670.0,NORMAL
347,6,47,2026-02-01,29,2465.0,1305.0,1160.0,NORMAL
348,6,48,2026-02-01,45,3240.0,1710.0,1530.0,NORMAL
349,6,49,2026-02-01,45,1260.0,675.0,585.0,NORMAL
350,6,50,2026-02-01,15,1725.0,900.0,825.0,SLOW_MOVER
351,6,51,2026-02-01,80,4160.0,2240.0,1920.0,NORMAL
352,6,52,2026-02-01,52,5200.0,2860.0,2340.0,NORMAL
353,6,53,2026-02-01,42,1764.0,924.0,840.0,NORMAL
354,6,54,2026-02-01,13,338.0,182.0,156.0,SLOW_MOVER
355,6,55,2026-02-01,2,130.0,70.0,60.0,SLOW_MOVER
356,6,56,2026-02-01,361,6137.0,3249.0,2888.0,FAST_MOVER
357,6,57,2026-02-01,393,3733.5,1965.0,1768.5,FAST_MOVER
358,6,58,2026-02-01,24,528.0,288.0,240.0,NORMAL
359,6,59,2026-02-01,42,6090.0,3360.0,2730.0,NORMAL
360,6,60,2026-02-01,5,550.0,300.0,250.0,SLOW_MOVER
361,1,1,2026-03-03,54,945.0,486.0,459.0,NORMAL
362,1,2,2026-03-03,64,1056.0,544.0,512.0,NORMAL
363,1,3,2026-03-03,89,1246.0,667.5,578.5,NORMAL
364,1,4,2026-03-03,86,3010.0,1548.0,1462.0,NORMAL
365,1,5,2026-03-03,84,7980.0,4620.0,3360.0,NORMAL
366,1,6,2026-03-03,98,2156.0,1176.0,980.0,NORMAL
367,1,7,2026-03-03,40,1680.0,880.0,800.0,NORMAL
368,1,8,2026-03-03,70,3640.0,1960.0,1680.0,NORMAL
369,1,9,2026-03-03,234,1287.0,655.2,631.8,FAST_MOVER
370,1,10,2026-03-03,164,574.0,295.2,278.8,FAST_MOVER
371,1,11,2026-03-03,72,1404.0,720.0,684.0,NORMAL
372,1,12,2026-03-03,318,5406.0,2862.0,2544.0,FAST_MOVER
373,1,13,2026-03-03,186,3162.0,1674.0,1488.0,FAST_MOVER
374,1,14,2026-03-03,77,731.5,385.0,346.5,NORMAL
375,1,15,2026-03-03,78,9360.0,5070.0,4290.0,NORMAL
376,1,16,2026-03-03,45,2160.0,1125.0,1035.0,NORMAL
377,1,17,2026-03-03,100,3500.0,1800.0,1700.0,NORMAL
378,1,18,2026-03-03,20,240.0,130.0,110.0,NORMAL
379,1,19,2026-03-03,312,4212.0,2184.0,2028.0,FAST_MOVER
380,1,20,2026-03-03,10,420.0,220.0,200.0,SLOW_MOVER
381,1,21,2026-03-03,377,3958.5,2073.5,1885.0,FAST_MOVER
382,1,22,2026-03-03,63,1197.0,630.0,567.0,NORMAL
383,1,23,2026-03-03,79,1580.0,829.5,750.5,NORMAL
384,1,24,2026-03-03,61,1159.0,610.0,549.0,NORMAL
385,1,25,2026-03-03,46,1150.0,598.0,552.0,NORMAL
386,1,26,2026-03-03,3,105.0,54.0,51.0,SLOW_MOVER
387,1,27,2026-03-03,183,8235.0,4392.0,3843.0,FAST_MOVER
388,1,28,2026-03-03,229,3206.0,1717.5,1488.5,FAST_MOVER
389,1,29,2026-03-03,244,3416.0,1830.0,1586.0,FAST_MOVER
