transaction_id,branch_id,cashier_id,total_amount,discount_amount,final_amount,payment_method,status,transaction_at
26,1,3,262.7,0.0,262.7,CARD,COMPLETED,2026-02-06 17:34:00
27,1,3,30.74,0.0,30.74,WALLET,VOIDED,2026-02-06 11:32:00
28,2,7,561.86,0.0,561.86,CARD,COMPLETED,2026-02-06 16:35:00
29,2,7,144.16,0.0,144.16,WALLET,COMPLETED,2026-02-06 10:37:00
30,2,6,577.85,28.89,548.96,CASH,VOIDED,2026-02-06 19:45:00
31,2,7,140.58,0.0,140.58,WALLET,COMPLETED,2026-02-06 15:50:00
32,2,6,180.94,0.0,180.94,CASH,COMPLETED,2026-02-06 16:55:00
33,2,7,268.35,0.0,268.35,CASH,COMPLETED,2026-02-06 16:36:00
34,2,7,134.69,6.73,127.96,CASH,COMPLETED,2026-02-06 16:42:00
35,2,6,588.85,58.89,529.96,CASH,COMPLETED,2026-02-06 09:07:00
36,2,7,483.87,0.0,483.87,CASH,COMPLETED,2026-02-06 18:43:00
37,2,7,391.1,39.11,351.99,CASH,COMPLETED,2026-02-06 11:37:00
38,2,6,256.44,0.0,256.44,CASH,COMPLETED,2026-02-06 21:18:00
39,2,6,507.57,0.0,507.57,CARD,COMPLETED,2026-02-06 21:12:00
40,2,6,306.26,0.0,306.26,CASH,COMPLETED,2026-02-06 17:58:00
41,2,6,472.09,0.0,472.09,CARD,COMPLETED,2026-02-06 17:05:00
42,2,6,443.11,0.0,443.11,CASH,COMPLETED,2026-02-06 21:32:00
43,2,7,124.94,0.0,124.94,CARD,COMPLETED,2026-02-06 18:10:00
44,2,7,470.71,0.0,470.71,CARD,COMPLETED,2026-02-06 13:11:00
45,2,6,113.54,11.35,102.19,CARD,COMPLETED,2026-02-06 15:58:00
46,2,6,476.18,0.0,476.18,CASH,COMPLETED,2026-02-06 18:55:00
47,2,6,529.57,0.0,529.57,CARD,COMPLETED,2026-02-06 21:28:00
48,2,7,174.21,17.42,156.79,CASH,COMPLETED,2026-02-06 13:10:00
49,2,6,567.88,0.0,567.88,CARD,COMPLETED,2026-02-06 10:31:00
50,2,7,486.92,0.0,486.92,CASH,COMPLETED,2026-02-06 14:54:00
51,2,7,408.47,0.0,408.47,CASH,COMPLETED,2026-02-06 12:35:00
52,2,6,425.37,0.0,425.37,CARD,REFUNDED,2026-02-06 20:25:00
53,2,7,322.0,0.0,322.0,CASH,COMPLETED,2026-02-06 09:13:00
54,2,6,399.25,0.0,399.25,CARD,COMPLETED,2026-02-06 09:36:00
55,2,6,507.46,0.0,507.46,WALLET,COMPLETED,2026-02-06 13:03:00
56,2,7,134.44,6.72,127.72,CASH,REFUNDED,2026-02-06 09:32:00
57,2,7,564.06,28.2,535.86,CASH,COMPLETED,2026-02-06 14:27:00
58,2,6,302.56,30.26,272.3,CASH,COMPLETED,2026-02-06 12:46:00
59,2,7,148.79,0.0,148.79,CASH,COMPLETED,2026-02-06 21:11:00
60,2,6,300.99,0.0,300.99,CASH,COMPLETED,2026-02-06 11:41:00
61,2,6,163.8,16.38,147.42,CASH,COMPLETED,2026-02-06 15:33:00
62,2,6,167.72,0.0,167.72,CARD,COMPLETED,2026-02-06 12:06:00
63,2,6,567.68,28.38,539.3,CASH,COMPLETED,2026-02-06 09:42:00
64,2,7,135.52,0.0,135.52,CASH,COMPLETED,2026-02-06 12:46:00
65,2,7,95.02,0.0,95.02,CASH,COMPLETED,2026-02-06 17:16:00
66,2,6,287.86,0.0,287.86,CASH,COMPLETED,2026-02-06 10:53:00
67,2,7,40.29,0.0,40.29,CARD,COMPLETED,2026-02-06 11:49:00
68,3,9,46.56,0.0,46.56,CASH,COMPLETED,2026-02-06 21:04:00
69,3,9,277.41,13.87,263.54,CASH,COMPLETED,2026-02-06 20:23:00
70,3,10,271.54,13.58,257.96,CARD,COMPLETED,2026-02-06 13:20:00
71,3,10,490.79,0.0,490.79,CASH,COMPLETED,2026-02-06 09:14:00
72,3,10,215.86,0.0,215.86,CASH,COMPLETED,2026-02-06 18:15:00
73,3,9,282.09,14.1,267.99,CASH,COMPLETED,2026-02-06 13:04:00
74,3,10,99.51,0.0,99.51,CASH,COMPLETED,2026-02-06 21:45:00
75,3,10,272.72,0.0,272.72,CASH,COMPLETED,2026-02-06 20:34:00
76,3,9,552.2,27.61,524.59,CARD,COMPLETED,2026-02-06 13:29:00
77,3,10,222.94,22.29,200.65,CASH,COMPLETED,2026-02-06 18:05:00
78,3,9,521.6,0.0,521.6,CASH,COMPLETED,2026-02-06 18:37:00
79,3,9,41.17,0.0,41.17,CASH,COMPLETED,2026-02-06 10:00:00
80,3,10,503.3,0.0,503.3,CASH,COMPLETED,2026-02-06 21:44:00
81,3,10,599.04,29.95,569.09,CASH,COMPLETED,2026-02-06 21:26:00
82,3,10,390.13,0.0,390.13,CASH,COMPLETED,2026-02-06 13:54:00
83,3,9,459.17,0.0,459.17,CASH,COMPLETED,2026-02-06 10:16:00
84,3,10,252.96,0.0,252.96,CASH,COMPLETED,2026-02-06 21:32:00
85,4,13,173.8,0.0,173.8,CARD,COMPLETED,2026-02-06 11:12:00
86,4,13,320.92,32.09,288.83,CASH,COMPLETED,2026-02-06 17:04:00
87,4,12,346.8,0.0,346.8,CASH,COMPLETED,2026-02-06 21:46:00
88,4,13,361.01,0.0,361.01,CASH,COMPLETED,2026-02-06 16:06:00
89,4,12,32.73,0.0,32.73,CARD,COMPLETED,2026-02-06 10:09:00
90,4,13,433.6,0.0,433.6,CARD,COMPLETED,2026-02-06 12:05:00
91,4,12,214.47,0.0,214.47,CASH,COMPLETED,2026-02-06 09:28:00
92,4,13,303.33,30.33,273.0,CASH,COMPLETED,2026-02-06 09:44:00
93,4,13,426.58,42.66,383.92,WALLET,REFUNDED,2026-02-06 12:51:00
94,4,13,439.46,0.0,439.46,CARD,COMPLETED,2026-02-06 20:33:00
95,4,13,41.71,4.17,37.54,CASH,COMPLETED,2026-02-06 15:02:00
96,4,12,334.34,33.43,300.91,CASH,COMPLETED,2026-02-06 17:21:00
97,4,12,444.22,0.0,444.22,CASH,COMPLETED,2026-02-06 15:12:00
98,4,12,52.95,0.0,52.95,CASH,COMPLETED,2026-02-06 17:34:00
99,4,13,242.4,12.12,230.28,CASH,REFUNDED,2026-02-06 21:22:00
100,4,12,65.98,0.0,65.98,WALLET,COMPLETED,2026-02-06 14:37:00
101,4,12,368.35,36.84,331.51,CARD,COMPLETED,2026-02-06 13:26:00
102,4,12,106.89,0.0,106.89,CASH,COMPLETED,2026-02-06 21:49:00
103,4,12,342.42,34.24,308.18,CASH,COMPLETED,2026-02-06 17:35:00
104,4,12,181.12,9.06,172.06,CARD,COMPLETED,2026-02-06 14:01:00
105,4,13,160.23,0.0,160.23,CASH,COMPLETED,2026-02-06 21:32:00
106,4,12,102.31,0.0,102.31,WALLET,COMPLETED,2026-02-06 11:41:00
107,4,13,472.19,47.22,424.97,WALLET,COMPLETED,2026-02-06 12:46:00
108,4,12,287.09,28.71,258.38,CARD,COMPLETED,2026-02-06 20:00:00
109,5,15,376.07,0.0,376.07,WALLET,COMPLETED,2026-02-06 11:55:00
110,5,16,194.45,19.45,175.0,CASH,COMPLETED,2026-02-06 09:19:00
111,5,15,386.36,0.0,386.36,CASH,COMPLETED,2026-02-06 21:31:00
112,5,15,192.01,0.0,192.01,CARD,COMPLETED,2026-02-06 09:50:00
113,5,16,358.33,0.0,358.33,CASH,COMPLETED,2026-02-06 15:43:00
114,5,16,131.21,0.0,131.21,CASH,COMPLETED,2026-02-06 20:26:00
115,5,16,576.07,0.0,576.07,CASH,COMPLETED,2026-02-06 21:01:00
116,5,16,162.12,0.0,162.12,CASH,COMPLETED,2026-02-06 13:16:00
117,5,16,254.25,12.71,241.54,CASH,COMPLETED,2026-02-06 21:10:00
118,5,15,118.78,5.94,112.84,CASH,COMPLETED,2026-02-06 16:40:00
119,5,16,446.96,0.0,446.96,CASH,COMPLETED,2026-02-06 18:03:00
120,5,16,346.2,34.62,311.58,CASH,VOIDED,2026-02-06 12:32:00
121,5,15,482.22,24.11,458.11,WALLET,COMPLETED,2026-02-06 17:20:00
122,5,16,587.11,0.0,587.11,CASH,VOIDED,2026-02-06 21:15:00
123,5,16,119.32,0.0,119.32,CARD,VOIDED,2026-02-06 12:21:00
124,5,15,135.19,0.0,135.19,CASH,COMPLETED,2026-02-06 12:46:00
125,5,16,279.49,27.95,251.54,CASH,COMPLETED,2026-02-06 17:40:00
126,5,16,369.98,18.5,351.48,CASH,COMPLETED,2026-02-06 11:39:00
127,5,15,304.29,0.0,304.29,CARD,COMPLETED,2026-02-06 16:28:00
128,5,16,134.47,13.45,121.02,CASH,COMPLETED,2026-02-06 17:28:00
129,5,16,474.03,23.7,450.33,CASH,REFUNDED,2026-02-06 19:29:00
130,6,18,226.9,0.0,226.9,CASH,COMPLETED,2026-02-06 14:53:00
131,6,18,445.59,0.0,445.59,CARD,COMPLETED,2026-02-06 17:27:00
132,6,18,94.4,9.44,84.96,CARD,COMPLETED,2026-02-06 12:49:00
133,6,19,41.53,0.0,41.53,WALLET,COMPLETED,2026-02-06 09:12:00
134,6,18,565.52,0.0,565.52,CASH,COMPLETED,2026-02-06 11:29:00
135,6,19,301.47,0.0,301.47,CASH,COMPLETED,2026-02-06 12:18:00
136,6,18,398.01,0.0,398.01,CASH,REFUNDED,2026-02-06 12:51:00
137,6,19,551.05,0.0,551.05,CARD,COMPLETED,2026-02-06 14:11:00
138,6,19,220.54,0.0,220.54,CARD,COMPLETED,2026-02-06 16:00:00
139,6,19,46.35,4.64,41.71,CARD,COMPLETED,2026-02-06 09:27:00
140,6,19,423.3,0.0,423.3,CASH,COMPLETED,2026-02-06 18:21:00
141,6,19,576.94,0.0,576.94,CASH,COMPLETED,2026-02-06 12:42:00
142,6,19,506.05,50.61,455.44,CASH,COMPLETED,2026-02-06 10:50:00
143,6,18,418.09,0.0,418.09,CASH,COMPLETED,2026-02-06 12:54:00
144,6,18,60.62,0.0,60.62,CASH,COMPLETED,2026-02-06 15:10:00
145,6,18,525.95,0.0,525.95,CASH,COMPLETED,2026-02-06 20:50:00
146,6,18,126.6,12.66,113.94,CARD,COMPLETED,2026-02-06 19:03:00
147,6,18,48.78,0.0,48.78,CASH,COMPLETED,2026-02-06 13:41:00
148,6,19,359.64,0.0,359.64,CASH,COMPLETED,2026-02-06 12:16:00
149,6,19,561.78,56.18,505.6,CASH,COMPLETED,2026-02-06 09:40:00
150,6,18,210.53,10.53,200.0,CASH,VOIDED,2026-02-06 21:14:00
151,1,4,494.64,24.73,469.91,CASH,VOIDED,2026-02-07 12:28:00
152,1,3,536.55,0.0,536.55,CASH,COMPLETED,2026-02-07 14:29:00
153,1,3,87.26,0.0,87.26,CASH,VOIDED,2026-02-07 13:55:00
154,1,4,38.42,0.0,38.42,CASH,COMPLETED,2026-02-07 10:04:00
155,1,3,75.01,0.0,75.01,CARD,COMPLETED,2026-02-07 21:23:00
156,1,3,283.71,28.37,255.34,CASH,COMPLETED,2026-02-07 12:32:00
157,1,4,212.77,0.0,212.77,CASH,COMPLETED,2026-02-07 19:52:00
158,1,4,371.3,0.0,371.3,CARD,COMPLETED,2026-02-07 17:20:00
159,1,3,378.97,0.0,378.97,CASH,COMPLETED,2026-02-07 20:13:00
160,1,3,49.21,2.46,46.75,CARD,COMPLETED,2026-02-07 11:12:00
161,1,3,127.61,6.38,121.23,CARD,COMPLETED,2026-02-07 13:05:00
162,1,3,149.06,14.91,134.15,CARD,COMPLETED,2026-02-07 19:39:00
163,1,4,416.65,20.83,395.82,CARD,COMPLETED,2026-02-07 13:33:00
164,1,4,104.05,5.2,98.85,CASH,REFUNDED,2026-02-07 21:30:00
165,1,3,481.96,48.2,433.76,CARD,COMPLETED,2026-02-07 10:55:00
166,1,3,127.69,0.0,127.69,CARD,COMPLETED,2026-02-07 17:37:00
167,1,4,463.46,0.0,463.46,CARD,COMPLETED,2026-02-07 11:42:00
168,1,4,530.59,53.06,477.53,CASH,COMPLETED,2026-02-07 21:32:00
169,1,4,235.91,0.0,235.91,CARD,COMPLETED,2026-02-07 18:54:00
170,1,4,575.32,0.0,575.32,CASH,COMPLETED,2026-02-07 19:17:00
171,1,4,156.55,15.66,140.89,CASH,COMPLETED,2026-02-07 16:44:00
172,2,6,301.19,0.0,301.19,CASH,COMPLETED,2026-02-07 11:13:00
173,2,7,458.33,45.83,412.5,CASH,COMPLETED,2026-02-07 14:00:00
174,2,7,459.4,45.94,413.46,CASH,COMPLETED,2026-02-07 11:24:00
175,2,6,336.15,0.0,336.15,CASH,COMPLETED,2026-02-07 17:06:00
176,2,7,89.64,4.48,85.16,CASH,COMPLETED,2026-02-07 15:49:00
177,2,7,596.89,59.69,537.2,CASH,COMPLETED,2026-02-07 18:38:00
178,2,7,169.22,0.0,169.22,CASH,COMPLETED,2026-02-07 19:07:00
179,2,6,455.55,0.0,455.55,CARD,COMPLETED,2026-02-07 12:36:00
180,2,7,480.07,0.0,480.07,CASH,COMPLETED,2026-02-07 16:53:00
181,2,7,551.16,0.0,551.16,CASH,COMPLETED,2026-02-07 10:24:00
182,2,6,333.73,33.37,300.36,CASH,COMPLETED,2026-02-07 13:51:00
183,2,6,77.54,0.0,77.54,CARD,COMPLETED,2026-02-07 11:14:00
184,2,6,69.36,0.0,69.36,CASH,COMPLETED,2026-02-07 17:50:00
185,2,7,364.4,36.44,327.96,CARD,COMPLETED,2026-02-07 16:08:00
186,2,6,110.79,5.54,105.25,CASH,COMPLETED,2026-02-07 20:24:00
187,2,7,72.98,7.3,65.68,CASH,COMPLETED,2026-02-07 19:34:00
188,2,6,282.08,14.1,267.98,CASH,COMPLETED,2026-02-07 10:28:00
189,2,7,303.53,0.0,303.53,CASH,COMPLETED,2026-02-07 19:24:00
190,2,6,110.07,0.0,110.07,CASH,COMPLETED,2026-02-07 20:42:00
191,2,7,427.19,42.72,384.47,CARD,COMPLETED,2026-02-07 09:48:00
192,2,6,265.31,13.27,252.04,WALLET,COMPLETED,2026-02-07 11:00:00
193,2,7,335.92,0.0,335.92,CASH,COMPLETED,2026-02-07 16:18:00
194,2,7,240.53,12.03,228.5,WALLET,COMPLETED,2026-02-07 11:59:00
195,2,6,72.04,7.2,64.84,CASH,COMPLETED,2026-02-07 20:20:00
196,2,7,294.01,0.0,294.01,CASH,COMPLETED,2026-02-07 13:58:00
197,2,7,217.27,0.0,217.27,CARD,COMPLETED,2026-02-07 18:37:00
198,2,7,49.33,4.93,44.4,CARD,COMPLETED,2026-02-07 11:13:00
199,2,6,437.88,21.89,415.99,CASH,COMPLETED,2026-02-07 10:28:00
200,2,6,63.33,6.33,57.0,CASH,COMPLETED,2026-02-07 12:16:00
201,2,6,394.84,0.0,394.84,CASH,COMPLETED,2026-02-07 21:12:00
202,2,7,282.29,0.0,282.29,CASH,COMPLETED,2026-02-07 19:59:00
203,2,6,414.09,0.0,414.09,CARD,COMPLETED,2026-02-07 09:00:00
204,2,6,276.1,0.0,276.1,CASH,COMPLETED,2026-02-07 21:24:00
205,3,10,525.93,0.0,525.93,CASH,COMPLETED,2026-02-07 18:57:00
206,3,9,464.54,0.0,464.54,CASH,COMPLETED,2026-02-07 14:44:00
207,3,10,535.73,0.0,535.73,CARD,COMPLETED,2026-02-07 09:18:00
208,3,9,333.22,33.32,299.9,CARD,COMPLETED,2026-02-07 13:32:00
209,3,9,544.96,27.25,517.71,CASH,COMPLETED,2026-02-07 14:43:00
210,3,9,215.71,21.57,194.14,CASH,COMPLETED,2026-02-07 10:13:00
211,3,10,424.43,0.0,424.43,CARD,COMPLETED,2026-02-07 13:56:00
212,3,10,521.78,0.0,521.78,CARD,COMPLETED,2026-02-07 09:04:00
213,3,9,226.3,11.32,214.98,CASH,COMPLETED,2026-02-07 19:47:00
214,3,10,430.98,0.0,430.98,CASH,COMPLETED,2026-02-07 13:52:00
215,3,10,524.34,0.0,524.34,WALLET,COMPLETED,2026-02-07 15:16:00
216,3,9,201.04,0.0,201.04,WALLET,COMPLETED,2026-02-07 10:20:00
217,3,10,359.09,0.0,359.09,CASH,COMPLETED,2026-02-07 11:13:00
218,3,9,363.04,0.0,363.04,CASH,REFUNDED,2026-02-07 16:16:00
219,3,10,139.8,0.0,139.8,CARD,COMPLETED,2026-02-07 18:17:00
220,3,9,536.94,0.0,536.94,CASH,COMPLETED,2026-02-07 20:05:00
221,3,9,377.1,37.71,339.39,CASH,COMPLETED,2026-02-07 15:11:00
222,3,9,338.06,0.0,338.06,CARD,COMPLETED,2026-02-07 12:22:00
223,3,10,535.37,26.77,508.6,CASH,COMPLETED,2026-02-07 16:19:00
224,3,10,290.43,0.0,290.43,CASH,COMPLETED,2026-02-07 21:38:00
225,3,9,446.74,44.67,402.07,CASH,COMPLETED,2026-02-07 20:59:00
226,3,10,524.63,0.0,524.63,CASH,COMPLETED,2026-02-07 13:22:00
227,3,9,178.29,0.0,178.29,CASH,COMPLETED,2026-02-07 15:43:00
228,3,9,466.52,0.0,466.52,CASH,COMPLETED,2026-02-07 16:38:00
229,3,10,161.98,0.0,161.98,CASH,COMPLETED,2026-02-07 19:53:00
230,3,9,49.66,0.0,49.66,CASH,COMPLETED,2026-02-07 18:19:00
231,3,9,420.89,0.0,420.89,CASH,COMPLETED,2026-02-07 10:07:00
232,3,10,128.27,0.0,128.27,CASH,COMPLETED,2026-02-07 09:09:00
233,3,9,436.16,0.0,436.16,CASH,COMPLETED,2026-02-07 21:48:00
234,3,9,239.19,0.0,239.19,CASH,COMPLETED,2026-02-07 14:40:00
235,3,10,261.14,0.0,261.14,CASH,COMPLETED,2026-02-07 17:05:00
236,3,10,397.19,0.0,397.19,CARD,COMPLETED,2026-02-07 17:56:00
237,3,9,504.02,0.0,504.02,CASH,REFUNDED,2026-02-07 16:22:00
238,3,9,257.52,12.88,244.64,CASH,COMPLETED,2026-02-07 18:48:00
239,3,10,137.3,6.87,130.43,CASH,COMPLETED,2026-02-07 18:42:00
240,3,9,311.07,0.0,311.07,CASH,COMPLETED,2026-02-07 17:24:00
241,3,9,38.15,0.0,38.15,CASH,VOIDED,2026-02-07 18:00:00
242,3,9,272.45,0.0,272.45,CASH,COMPLETED,2026-02-07 10:34:00
243,4,12,280.62,0.0,280.62,CASH,COMPLETED,2026-02-07 11:42:00
244,4,12,479.1,0.0,479.1,CARD,COMPLETED,2026-02-07 10:03:00
245,4,13,129.67,6.48,123.19,CASH,COMPLETED,2026-02-07 20:57:00
246,4,12,395.6,39.56,356.04,CARD,COMPLETED,2026-02-07 10:33:00
247,4,13,434.95,0.0,434.95,CASH,COMPLETED,2026-02-07 14:40:00
248,4,12,284.69,28.47,256.22,CARD,COMPLETED,2026-02-07 10:07:00
249,4,12,253.74,0.0,253.74,CARD,COMPLETED,2026-02-07 21:54:00
250,4,13,253.28,0.0,253.28,CARD,COMPLETED,2026-02-07 13:15:00
251,4,13,475.45,0.0,475.45,WALLET,COMPLETED,2026-02-07 17:44:00
252,4,12,510.73,51.07,459.66,CASH,COMPLETED,2026-02-07 09:59:00
253,4,12,117.38,0.0,117.38,CASH,COMPLETED,2026-02-07 10:06:00
254,4,12,424.29,21.21,403.08,CARD,REFUNDED,2026-02-07 19:35:00
255,4,12,554.67,27.73,526.94,CARD,COMPLETED,2026-02-07 09:08:00
256,4,12,266.06,0.0,266.06,CASH,COMPLETED,2026-02-07 11:34:00
257,4,13,254.95,0.0,254.95,CASH,COMPLETED,2026-02-07 17:26:00
258,4,12,168.92,8.45,160.47,CARD,COMPLETED,2026-02-07 12:47:00
259,4,12,372.44,37.24,335.2,CARD,REFUNDED,2026-02-07 15:01:00
260,4,13,148.73,0.0,148.73,CASH,COMPLETED,2026-02-07 17:20:00
261,4,12,210.72,0.0,210.72,CASH,COMPLETED,2026-02-07 12:03:00
262,4,12,274.55,0.0,274.55,CASH,COMPLETED,2026-02-07 15:23:00
263,4,13,481.15,0.0,481.15,CARD,COMPLETED,2026-02-07 11:50:00
264,4,12,422.83,21.14,401.69,CARD,COMPLETED,2026-02-07 13:06:00
265,4,12,409.56,0.0,409.56,CASH,COMPLETED,2026-02-07 21:15:00
266,4,13,170.28,0.0,170.28,CASH,COMPLETED,2026-02-07 16:09:00
267,4,12,160.44,16.04,144.4,CARD,REFUNDED,2026-02-07 10:54:00
268,4,13,147.38,0.0,147.38,CASH,COMPLETED,2026-02-07 11:21:00
269,4,13,42.97,2.15,40.82,CASH,COMPLETED,2026-02-07 19:26:00
270,4,12,280.76,14.04,266.72,CASH,COMPLETED,2026-02-07 10:08:00
271,4,12,67.53,6.75,60.78,CASH,COMPLETED,2026-02-07 18:48:00
272,4,13,521.91,0.0,521.91,CASH,COMPLETED,2026-02-07 12:15:00
273,4,12,53.61,2.68,50.93,CASH,COMPLETED,2026-02-07 11:27:00
274,4,13,522.28,0.0,522.28,CASH,COMPLETED,2026-02-07 19:18:00
275,4,12,60.46,0.0,60.46,CASH,COMPLETED,2026-02-07 16:55:00
276,4,13,39.5,1.98,37.52,CARD,COMPLETED,2026-02-07 14:45:00
277,4,12,463.72,23.19,440.53,CASH,COMPLETED,2026-02-07 09:11:00
278,5,16,543.81,54.38,489.43,WALLET,COMPLETED,2026-02-07 12:26:00
279,5,16,66.35,3.32,63.03,CARD,REFUNDED,2026-02-07 16:53:00
280,5,15,336.85,0.0,336.85,CASH,COMPLETED,2026-02-07 09:09:00
281,5,15,554.52,55.45,499.07,CASH,COMPLETED,2026-02-07 12:25:00
282,5,15,485.27,0.0,485.27,CASH,COMPLETED,2026-02-07 13:57:00
283,5,15,599.48,0.0,599.48,WALLET,COMPLETED,2026-02-07 10:28:00
284,5,16,151.16,15.12,136.04,CASH,COMPLETED,2026-02-07 20:42:00
285,5,15,517.11,25.86,491.25,CASH,COMPLETED,2026-02-07 16:00:00
286,5,15,365.65,0.0,365.65,CARD,COMPLETED,2026-02-07 09:06:00
287,5,16,209.56,20.96,188.6,WALLET,COMPLETED,2026-02-07 12:18:00
288,5,15,476.63,47.66,428.97,CASH,COMPLETED,2026-02-07 18:46:00
289,5,15,141.26,14.13,127.13,CARD,COMPLETED,2026-02-07 17:09:00
290,5,15,235.65,0.0,235.65,CARD,COMPLETED,2026-02-07 09:34:00
291,5,15,225.15,11.26,213.89,CASH,COMPLETED,2026-02-07 10:52:00
292,5,15,293.76,14.69,279.07,WALLET,COMPLETED,2026-02-07 12:53:00
293,5,16,137.13,13.71,123.42,CARD,COMPLETED,2026-02-07 12:11:00
294,5,16,581.24,58.12,523.12,CASH,COMPLETED,2026-02-07 09:41:00
295,5,15,353.71,0.0,353.71,CASH,COMPLETED,2026-02-07 21:12:00
296,5,16,266.61,0.0,266.61,CASH,COMPLETED,2026-02-07 14:05:00
297,5,16,500.47,0.0,500.47,CARD,COMPLETED,2026-02-07 17:23:00
298,5,16,403.34,40.33,363.01,CARD,COMPLETED,2026-02-07 12:03:00
299,5,15,367.78,0.0,367.78,CASH,REFUNDED,2026-02-07 18:35:00
300,5,15,397.62,19.88,377.74,CARD,COMPLETED,2026-02-07 17:51:00
301,5,16,192.64,0.0,192.64,CASH,COMPLETED,2026-02-07 14:43:00
302,5,16,368.27,0.0,368.27,CASH,COMPLETED,2026-02-07 15:03:00
303,5,16,185.22,9.26,175.96,CASH,COMPLETED,2026-02-07 12:26:00
304,5,15,418.93,41.89,377.04,CARD,COMPLETED,2026-02-07 15:56:00
305,5,16,574.97,0.0,574.97,CARD,COMPLETED,2026-02-07 11:12:00
306,5,15,575.28,57.53,517.75,CASH,COMPLETED,2026-02-07 17:44:00
307,5,15,286.92,0.0,286.92,CARD,COMPLETED,2026-02-07 13:06:00
308,5,15,263.92,13.2,250.72,CARD,COMPLETED,2026-02-07 20:28:00
309,5,16,97.76,9.78,87.98,CASH,COMPLETED,2026-02-07 17:48:00
310,5,15,216.21,0.0,216.21,WALLET,COMPLETED,2026-02-07 19:13:00
311,5,15,264.8,26.48,238.32,CARD,REFUNDED,2026-02-07 14:20:00
312,5,16,575.68,57.57,518.11,CASH,COMPLETED,2026-02-07 15:50:00
313,5,16,210.63,0.0,210.63,CASH,COMPLETED,2026-02-07 09:17:00
314,5,16,143.08,0.0,143.08,CASH,COMPLETED,2026-02-07 14:11:00
315,5,15,314.15,0.0,314.15,CASH,COMPLETED,2026-02-07 15:52:00
316,5,15,133.78,0.0,133.78,CASH,COMPLETED,2026-02-07 17:48:00
317,5,16,330.18,0.0,330.18,CARD,COMPLETED,2026-02-07 21:52:00
318,6,19,277.87,13.89,263.98,CASH,COMPLETED,2026-02-07 21:33:00
319,6,18,154.93,15.49,139.44,CASH,COMPLETED,2026-02-07 16:41:00
320,6,18,196.86,19.69,177.17,CASH,COMPLETED,2026-02-07 09:17:00
321,6,18,94.44,0.0,94.44,WALLET,COMPLETED,2026-02-07 20:10:00
322,6,19,478.74,0.0,478.74,CASH,COMPLETED,2026-02-07 17:58:00
323,6,19,552.25,0.0,552.25,CASH,COMPLETED,2026-02-07 21:09:00
324,6,18,96.29,9.63,86.66,CASH,COMPLETED,2026-02-07 19:19:00
325,6,19,59.59,5.96,53.63,CASH,COMPLETED,2026-02-07 11:41:00
326,6,19,401.86,0.0,401.86,CASH,COMPLETED,2026-02-07 13:36:00
327,6,19,463.28,0.0,463.28,CARD,COMPLETED,2026-02-07 17:50:00
328,6,18,418.13,0.0,418.13,CASH,COMPLETED,2026-02-07 17:59:00
329,6,19,345.04,0.0,345.04,CARD,COMPLETED,2026-02-07 16:44:00
330,6,18,464.49,0.0,464.49,CASH,COMPLETED,2026-02-07 09:53:00
